date,department_id,department_name,priority,tickets_created,tickets_closed,sla_breached_tickets,sla_breach_rate,avg_first_response_hours,avg_resolution_hours,avg_satisfaction_score
2025-10-09,dep_02,billing support,low,2,1,1,0.50,11.49,2824.24,4.40
2025-10-09,dep_02,billing support,medium,3,3,1,0.33,17.88,26.53,4.53
2025-10-09,dep_03,customer success,critical,1,1,1,1.00,2.26,7.91,3.50
2025-10-09,dep_03,customer success,high,1,1,1,1.00,6.97,17.02,2.70
2025-10-09,dep_03,customer success,medium,1,1,0,0.00,10.29,19.18,4.40
2025-10-09,dep_04,trust and safety,high,1,1,1,1.00,3.75,24.92,2.90
2025-10-09,dep_04,trust and safety,medium,1,1,1,1.00,26.08,68.41,3.00
2025-10-09,dep_05,platform operations,low,3,3,0,0.00,39.74,65.10,4.80
2025-10-09,dep_05,platform operations,medium,3,3,1,0.33,23.37,48.01,4.10
2025-10-10,dep_01,technical support,high,1,1,1,1.00,3.29,31.63,3.30
2025-10-10,dep_01,technical support,low,1,1,0,0.00,17.26,61.41,4.80
2025-10-10,dep_01,technical support,medium,4,4,1,0.25,9.32,35.61,4.35
2025-10-10,dep_02,billing support,medium,2,2,0,0.00,11.55,14.73,4.85
2025-10-10,dep_03,customer success,high,1,1,1,1.00,2.65,20.83,3.70
2025-10-10,dep_03,customer success,low,2,2,0,0.00,32.26,32.76,4.50
2025-10-10,dep_03,customer success,medium,1,1,0,0.00,24.10,24.60,4.50
2025-10-10,dep_05,platform operations,low,1,1,0,0.00,40.28,56.37,4.40
2025-10-11,dep_01,technical support,low,1,1,0,0.00,10.18,59.08,4.40
2025-10-11,dep_02,billing support,medium,1,1,0,0.00,11.94,12.44,4.70
2025-10-11,dep_03,customer success,low,2,2,0,0.00,33.13,42.82,4.70
2025-10-11,dep_03,customer success,medium,1,1,0,0.00,16.36,28.09,4.00
2025-10-11,dep_05,platform operations,high,1,1,0,0.00,4.19,10.77,4.30
2025-10-12,dep_01,technical support,high,2,1,1,0.50,3.94,2785.87,4.70
2025-10-12,dep_01,technical support,medium,1,1,1,1.00,16.46,43.84,4.10
2025-10-12,dep_03,customer success,critical,1,1,0,0.00,1.86,5.14,4.60
2025-10-12,dep_03,customer success,high,1,1,0,0.00,7.62,8.12,5.00
2025-10-12,dep_03,customer success,medium,1,1,0,0.00,10.67,45.27,4.40
2025-10-12,dep_05,platform operations,medium,1,1,1,1.00,14.30,55.78,3.10
2025-10-13,dep_01,technical support,critical,1,1,1,1.00,0.84,8.00,2.90
2025-10-13,dep_01,technical support,high,3,3,0,0.00,5.59,11.14,4.40
2025-10-13,dep_01,technical support,low,3,3,0,0.00,18.28,51.88,4.70
2025-10-13,dep_01,technical support,medium,3,3,0,0.00,16.10,25.43,4.33
2025-10-13,dep_02,billing support,critical,1,1,0,0.00,1.24,6.67,4.50
2025-10-13,dep_02,billing support,high,2,2,0,0.00,5.71,8.82,4.70
2025-10-13,dep_02,billing support,low,1,1,0,0.00,8.33,47.15,5.00
2025-10-13,dep_02,billing support,medium,3,3,0,0.00,16.48,31.41,4.60
2025-10-13,dep_03,customer success,high,2,2,1,0.50,2.51,23.48,3.85
2025-10-13,dep_03,customer success,low,3,2,1,0.33,45.17,1885.33,4.40
2025-10-13,dep_03,customer success,medium,1,1,0,0.00,13.92,42.57,4.80
2025-10-13,dep_05,platform operations,critical,1,1,1,1.00,1.55,14.59,3.60
2025-10-13,dep_05,platform operations,low,1,1,0,0.00,37.18,87.76,3.40
2025-10-13,dep_05,platform operations,medium,4,4,2,0.50,13.85,81.64,3.85
2025-10-14,dep_01,technical support,high,3,3,1,0.33,3.07,18.60,4.07
2025-10-14,dep_01,technical support,low,2,2,0,0.00,33.91,61.60,4.40
2025-10-14,dep_01,technical support,medium,4,4,0,0.00,14.17,21.29,4.80
2025-10-14,dep_02,billing support,critical,1,1,0,0.00,2.15,3.43,4.50
2025-10-14,dep_02,billing support,high,1,1,0,0.00,5.22,5.72,5.00
2025-10-14,dep_02,billing support,low,2,2,0,0.00,15.99,16.68,4.95
2025-10-14,dep_02,billing support,medium,4,4,0,0.00,10.49,18.70,4.25
2025-10-14,dep_03,customer success,low,1,1,0,0.00,29.93,44.64,4.20
2025-10-14,dep_03,customer success,medium,3,3,1,0.33,14.57,35.75,4.27
2025-10-14,dep_05,platform operations,low,1,1,0,0.00,33.48,81.48,4.90
2025-10-14,dep_05,platform operations,medium,1,1,1,1.00,29.86,61.14,3.80
2025-10-15,dep_01,technical support,critical,1,1,1,1.00,1.06,32.56,2.80
2025-10-15,dep_01,technical support,high,3,3,2,0.67,3.40,24.28,3.73
2025-10-15,dep_01,technical support,low,3,3,0,0.00,15.96,30.98,4.73
2025-10-15,dep_01,technical support,medium,5,4,1,0.20,15.30,1114.88,4.83
2025-10-15,dep_02,billing support,critical,2,2,0,0.00,1.10,2.24,4.75
2025-10-15,dep_02,billing support,high,2,2,1,0.50,4.70,18.50,4.50
2025-10-15,dep_02,billing support,low,1,1,0,0.00,28.12,28.62,4.80
2025-10-15,dep_02,billing support,medium,2,2,0,0.00,11.71,12.31,4.80
2025-10-15,dep_03,customer success,high,1,1,0,0.00,2.11,6.86,4.60
2025-10-15,dep_03,customer success,medium,3,3,0,0.00,8.97,14.90,4.83
2025-10-15,dep_04,trust and safety,critical,1,1,1,1.00,2.15,7.97,3.40
2025-10-15,dep_04,trust and safety,medium,1,1,0,0.00,10.81,41.28,4.60
2025-10-15,dep_05,platform operations,medium,2,2,1,0.50,16.64,52.66,4.25
2025-10-16,dep_01,technical support,critical,1,1,0,0.00,1.98,6.49,5.00
2025-10-16,dep_01,technical support,high,2,2,0,0.00,3.20,13.57,4.30
2025-10-16,dep_01,technical support,low,5,5,0,0.00,39.49,45.35,4.42
2025-10-16,dep_01,technical support,medium,4,4,0,0.00,7.04,21.69,4.60
2025-10-16,dep_02,billing support,critical,1,1,1,1.00,1.70,11.56,3.00
2025-10-16,dep_02,billing support,high,1,1,0,0.00,5.69,6.19,3.80
2025-10-16,dep_02,billing support,medium,2,2,0,0.00,8.97,22.71,4.35
2025-10-16,dep_03,customer success,high,3,3,0,0.00,4.51,12.35,4.57
2025-10-16,dep_03,customer success,low,1,1,0,0.00,21.32,24.19,5.00
2025-10-16,dep_03,customer success,medium,4,3,1,0.25,14.97,1385.39,4.67
2025-10-16,dep_04,trust and safety,low,1,1,1,1.00,54.10,101.04,3.50
2025-10-16,dep_05,platform operations,critical,1,1,1,1.00,0.72,14.96,2.90
2025-10-16,dep_05,platform operations,low,2,2,0,0.00,40.30,49.22,4.90
2025-10-16,dep_05,platform operations,medium,1,1,1,1.00,29.04,50.88,3.40
2025-10-17,dep_01,technical support,critical,1,1,1,1.00,0.79,14.06,3.60
2025-10-17,dep_01,technical support,high,1,1,1,1.00,3.43,29.34,2.20
2025-10-17,dep_01,technical support,low,2,2,0,0.00,22.95,34.54,4.60
2025-10-17,dep_01,technical support,medium,4,4,0,0.00,12.20,21.57,4.50
2025-10-17,dep_02,billing support,high,1,1,0,0.00,4.02,8.54,4.90
2025-10-17,dep_02,billing support,low,4,4,0,0.00,27.68,37.03,4.53
2025-10-17,dep_02,billing support,medium,4,4,0,0.00,10.63,21.09,4.67
2025-10-17,dep_03,customer success,high,1,1,0,0.00,3.14,12.74,4.10
2025-10-17,dep_03,customer success,medium,1,1,0,0.00,8.77,9.27,5.00
2025-10-17,dep_04,trust and safety,low,1,1,0,0.00,51.76,52.26,4.80
2025-10-17,dep_05,platform operations,high,2,2,2,1.00,3.42,33.01,2.65
2025-10-17,dep_05,platform operations,low,2,2,0,0.00,29.21,29.71,4.50
2025-10-17,dep_05,platform operations,medium,1,1,0,0.00,27.82,28.32,4.50
2025-10-18,dep_01,technical support,high,1,1,1,1.00,10.80,24.54,3.80
2025-10-18,dep_01,technical support,low,1,1,0,0.00,15.45,15.95,3.90
2025-10-18,dep_01,technical support,medium,1,1,0,0.00,34.75,35.25,4.40
2025-10-18,dep_02,billing support,high,1,1,1,1.00,4.40,28.84,3.00
2025-10-18,dep_03,customer success,medium,1,1,0,0.00,26.93,27.43,4.30
2025-10-18,dep_04,trust and safety,medium,1,1,1,1.00,20.27,57.74,2.80
2025-10-18,dep_05,platform operations,high,1,1,1,1.00,6.75,36.90,2.50
2025-10-18,dep_05,platform operations,medium,1,1,0,0.00,15.71,36.41,3.70
2025-10-19,dep_01,technical support,high,1,1,0,0.00,2.60,9.48,4.40
2025-10-19,dep_01,technical support,medium,3,3,0,0.00,10.61,27.38,4.80
2025-10-19,dep_02,billing support,low,1,1,0,0.00,23.52,24.02,4.80
2025-10-19,dep_02,billing support,medium,1,1,0,0.00,8.37,9.91,5.00
2025-10-19,dep_03,customer success,critical,1,1,1,1.00,0.66,17.96,3.00
2025-10-19,dep_03,customer success,high,1,1,0,0.00,3.49,5.14,4.70
2025-10-19,dep_05,platform operations,low,1,1,1,1.00,104.58,105.08,3.30
2025-10-20,dep_01,technical support,high,2,2,2,1.00,4.29,54.01,2.45
2025-10-20,dep_01,technical support,low,2,2,0,0.00,27.62,29.02,4.75
2025-10-20,dep_01,technical support,medium,7,7,2,0.29,16.19,34.36,4.24
2025-10-20,dep_02,billing support,critical,1,1,0,0.00,1.47,1.99,4.80
2025-10-20,dep_02,billing support,high,1,1,1,1.00,1.81,26.90,3.00
2025-10-20,dep_02,billing support,medium,4,4,1,0.25,19.30,32.95,4.35
2025-10-20,dep_03,customer success,critical,1,1,0,0.00,0.42,3.40,4.40
2025-10-20,dep_03,customer success,high,3,3,0,0.00,4.94,10.98,4.40
2025-10-20,dep_03,customer success,low,1,1,0,0.00,21.90,22.40,4.70
2025-10-20,dep_03,customer success,medium,3,3,0,0.00,18.74,28.08,4.20
2025-10-20,dep_05,platform operations,high,1,1,1,1.00,7.13,26.61,2.60
2025-10-20,dep_05,platform operations,medium,1,0,1,1.00,24.42,5366.73,0.00
2025-10-21,dep_01,technical support,high,2,2,2,1.00,7.45,24.95,2.65
2025-10-21,dep_01,technical support,low,1,1,1,1.00,17.74,194.45,3.10
2025-10-21,dep_01,technical support,medium,3,3,0,0.00,13.14,24.54,4.73
2025-10-21,dep_02,billing support,high,1,1,0,0.00,7.51,9.14,4.20
2025-10-21,dep_02,billing support,low,3,3,1,0.33,28.67,62.58,4.10
2025-10-21,dep_02,billing support,medium,2,2,0,0.00,12.55,23.46,4.85
2025-10-21,dep_03,customer success,critical,1,1,0,0.00,1.92,3.92,5.00
2025-10-21,dep_03,customer success,high,3,3,3,1.00,6.75,26.12,2.90
2025-10-21,dep_03,customer success,low,2,2,0,0.00,28.05,46.94,4.65
2025-10-21,dep_03,customer success,medium,2,2,0,0.00,11.80,23.46,4.50
2025-10-21,dep_04,trust and safety,high,1,1,1,1.00,4.24,37.91,3.00
2025-10-21,dep_05,platform operations,high,1,1,1,1.00,6.76,31.86,3.10
2025-10-21,dep_05,platform operations,medium,2,2,1,0.50,14.53,93.47,3.55
2025-10-22,dep_01,technical support,critical,1,1,1,1.00,2.01,18.89,3.00
2025-10-22,dep_01,technical support,high,2,1,1,0.50,3.13,2659.57,5.00
2025-10-22,dep_01,technical support,low,1,1,0,0.00,14.48,32.42,4.70
2025-10-22,dep_01,technical support,medium,3,3,0,0.00,9.65,19.72,4.87
2025-10-22,dep_02,billing support,high,1,1,0,0.00,4.31,6.92,5.00
2025-10-22,dep_02,billing support,low,2,1,1,0.50,32.20,2673.52,4.60
2025-10-22,dep_02,billing support,medium,3,3,0,0.00,9.26,17.85,4.77
2025-10-22,dep_03,customer success,high,2,1,1,0.50,4.41,2668.06,5.00
2025-10-22,dep_03,customer success,low,2,2,0,0.00,23.88,35.44,4.60
2025-10-22,dep_03,customer success,medium,1,0,1,1.00,15.27,5318.73,0.00
2025-10-22,dep_05,platform operations,high,1,1,0,0.00,7.21,10.77,4.80
2025-10-22,dep_05,platform operations,low,1,1,1,1.00,31.35,122.79,3.20
2025-10-22,dep_05,platform operations,medium,2,2,0,0.00,19.16,31.21,4.25
2025-10-23,dep_01,technical support,critical,1,1,1,1.00,1.29,8.37,3.60
2025-10-23,dep_01,technical support,high,3,3,1,0.33,9.72,16.45,4.20
2025-10-23,dep_01,technical support,medium,5,5,2,0.40,17.12,34.29,4.06
2025-10-23,dep_02,billing support,high,1,1,0,0.00,3.69,4.19,3.90
2025-10-23,dep_02,billing support,low,2,2,0,0.00,19.79,22.11,4.70
2025-10-23,dep_03,customer success,medium,6,6,0,0.00,11.40,24.24,4.55
2025-10-23,dep_05,platform operations,high,2,2,2,1.00,3.92,31.54,3.20
2025-10-23,dep_05,platform operations,low,1,1,0,0.00,52.30,67.77,4.40
2025-10-23,dep_05,platform operations,medium,1,1,0,0.00,16.16,30.13,4.80
2025-10-24,dep_01,technical support,high,2,2,0,0.00,3.31,11.62,4.20
2025-10-24,dep_01,technical support,low,4,4,0,0.00,21.64,41.87,4.53
2025-10-24,dep_01,technical support,medium,2,2,1,0.50,19.78,45.78,3.80
2025-10-24,dep_02,billing support,low,1,1,0,0.00,18.28,18.78,5.00
2025-10-24,dep_03,customer success,high,3,3,0,0.00,7.76,11.00,4.43
2025-10-24,dep_03,customer success,low,2,2,1,0.50,23.88,126.57,4.10
2025-10-24,dep_05,platform operations,high,2,2,1,0.50,5.58,15.21,4.00
2025-10-24,dep_05,platform operations,low,1,1,0,0.00,60.91,91.20,4.30
2025-10-24,dep_05,platform operations,medium,4,4,3,0.75,16.91,46.30,3.83
2025-10-25,dep_01,technical support,critical,1,1,0,0.00,0.70,7.40,4.30
2025-10-25,dep_01,technical support,low,2,2,0,0.00,17.62,19.30,4.65
2025-10-25,dep_01,technical support,medium,1,1,0,0.00,12.55,17.90,4.80
2025-10-25,dep_02,billing support,high,1,0,1,1.00,1.37,5241.15,0.00
2025-10-25,dep_02,billing support,medium,1,1,0,0.00,3.52,13.12,5.00
2025-10-25,dep_03,customer success,high,1,1,0,0.00,4.58,8.95,4.70
2025-10-25,dep_03,customer success,low,1,1,0,0.00,22.86,23.36,4.30
2025-10-25,dep_03,customer success,medium,1,1,0,0.00,11.35,18.43,3.90
2025-10-25,dep_05,platform operations,high,2,2,1,0.50,8.21,13.79,4.15
2025-10-26,dep_01,technical support,high,1,1,1,1.00,6.79,40.08,3.20
2025-10-26,dep_01,technical support,medium,1,1,0,0.00,15.28,20.05,5.00
2025-10-26,dep_02,billing support,critical,1,1,0,0.00,0.78,4.16,4.30
2025-10-26,dep_03,customer success,critical,1,1,0,0.00,0.63,5.71,4.30
2025-10-26,dep_03,customer success,medium,2,2,0,0.00,17.31,31.58,4.60
2025-10-26,dep_05,platform operations,critical,1,1,1,1.00,1.81,14.03,2.90
2025-10-26,dep_05,platform operations,medium,1,1,0,0.00,26.00,28.40,4.60
2025-10-27,dep_01,technical support,high,2,2,1,0.50,3.77,26.00,3.40
2025-10-27,dep_01,technical support,low,5,5,0,0.00,21.49,28.34,4.66
2025-10-27,dep_01,technical support,medium,8,8,2,0.25,10.24,33.39,4.36
2025-10-27,dep_02,billing support,high,1,1,1,1.00,5.21,51.62,2.20
2025-10-27,dep_02,billing support,low,2,2,0,0.00,27.71,28.56,4.15
2025-10-27,dep_02,billing support,medium,1,1,0,0.00,7.78,24.59,4.60
2025-10-27,dep_03,customer success,high,2,2,0,0.00,6.65,8.73,4.35
2025-10-27,dep_03,customer success,low,2,2,0,0.00,42.03,42.53,4.75
2025-10-27,dep_03,customer success,medium,6,6,1,0.17,13.80,32.45,4.68
2025-10-27,dep_04,trust and safety,medium,1,1,0,0.00,19.13,54.71,4.40
2025-10-27,dep_05,platform operations,critical,1,1,1,1.00,1.17,11.45,3.10
2025-10-27,dep_05,platform operations,high,1,1,0,0.00,5.11,23.75,4.90
2025-10-27,dep_05,platform operations,low,1,1,1,1.00,28.80,111.39,3.70
2025-10-27,dep_05,platform operations,medium,4,4,0,0.00,27.94,42.39,4.12
2025-10-28,dep_01,technical support,critical,1,1,1,1.00,1.92,26.48,2.40
2025-10-28,dep_01,technical support,high,2,2,0,0.00,2.86,14.03,4.60
2025-10-28,dep_01,technical support,low,5,5,1,0.20,30.09,54.19,4.24
2025-10-28,dep_01,technical support,medium,5,5,0,0.00,10.02,20.03,4.80
2025-10-28,dep_02,billing support,high,1,1,0,0.00,3.73,9.06,4.90
2025-10-28,dep_02,billing support,low,2,2,0,0.00,39.12,39.62,4.65
2025-10-28,dep_02,billing support,medium,4,4,0,0.00,10.91,19.24,4.90
2025-10-28,dep_03,customer success,critical,1,1,0,0.00,1.54,4.50,4.50
2025-10-28,dep_03,customer success,medium,3,3,1,0.33,13.30,26.46,4.20
2025-10-28,dep_04,trust and safety,critical,1,1,1,1.00,0.64,21.64,2.30
2025-10-28,dep_04,trust and safety,high,2,2,2,1.00,8.10,23.93,3.00
2025-10-28,dep_04,trust and safety,low,1,1,0,0.00,46.69,47.19,5.00
2025-10-28,dep_05,platform operations,high,1,1,1,1.00,5.57,48.58,1.70
2025-10-28,dep_05,platform operations,low,1,0,1,1.00,29.33,5172.92,0.00
2025-10-28,dep_05,platform operations,medium,3,3,2,0.67,18.84,77.55,3.70
2025-10-29,dep_01,technical support,high,3,3,3,1.00,4.42,40.74,2.83
2025-10-29,dep_01,technical support,low,6,6,1,0.17,36.13,58.83,4.57
2025-10-29,dep_01,technical support,medium,4,4,2,0.50,26.00,31.79,4.03
2025-10-29,dep_02,billing support,high,1,1,0,0.00,3.25,10.20,4.60
2025-10-29,dep_02,billing support,low,1,1,0,0.00,10.16,21.88,5.00
2025-10-29,dep_02,billing support,medium,2,2,0,0.00,21.17,25.33,4.50
2025-10-29,dep_03,customer success,high,2,2,0,0.00,3.81,6.12,4.75
2025-10-29,dep_03,customer success,low,3,3,0,0.00,27.95,38.20,4.40
2025-10-29,dep_03,customer success,medium,4,4,0,0.00,19.16,25.91,4.53
2025-10-29,dep_04,trust and safety,low,1,1,1,1.00,85.45,116.54,4.10
2025-10-29,dep_04,trust and safety,medium,1,1,0,0.00,9.10,32.49,5.00
2025-10-29,dep_05,platform operations,high,1,1,1,1.00,8.22,21.75,3.40
2025-10-29,dep_05,platform operations,low,1,1,1,1.00,91.32,139.81,3.60
2025-10-29,dep_05,platform operations,medium,2,2,1,0.50,34.12,56.72,4.35
2025-10-30,dep_01,technical support,critical,1,1,1,1.00,0.85,11.61,2.80
2025-10-30,dep_01,technical support,low,2,2,0,0.00,10.93,20.47,4.65
2025-10-30,dep_01,technical support,medium,4,4,0,0.00,9.07,15.02,4.53
2025-10-30,dep_02,billing support,critical,1,1,0,0.00,0.91,3.70,4.50
2025-10-30,dep_02,billing support,high,2,2,0,0.00,2.89,11.44,4.60
2025-10-30,dep_02,billing support,low,1,1,0,0.00,34.21,53.70,4.50
2025-10-30,dep_03,customer success,high,2,2,1,0.50,7.73,17.96,3.60
2025-10-30,dep_03,customer success,low,3,3,0,0.00,24.28,32.18,4.40
2025-10-30,dep_03,customer success,medium,4,3,1,0.25,11.48,1294.55,4.80
2025-10-30,dep_04,trust and safety,low,4,4,0,0.00,39.89,59.83,4.05
2025-10-30,dep_05,platform operations,low,1,1,0,0.00,65.87,80.16,5.00
2025-10-30,dep_05,platform operations,medium,1,1,0,0.00,17.09,30.72,4.30
2025-10-31,dep_01,technical support,high,3,3,1,0.33,3.74,10.77,4.37
2025-10-31,dep_01,technical support,low,1,1,1,1.00,29.84,141.35,3.50
2025-10-31,dep_01,technical support,medium,4,3,1,0.25,8.65,1282.46,4.73
2025-10-31,dep_02,billing support,low,3,3,0,0.00,26.91,38.04,4.37
2025-10-31,dep_02,billing support,medium,2,2,0,0.00,12.30,14.91,4.95
2025-10-31,dep_03,customer success,high,2,2,1,0.50,2.90,14.29,3.55
