date,week_start,month,day_of_week,is_weekend,category,channel,priority,department_name,ticket_count,sla_breach_rate,avg_first_response_hours,avg_resolution_hours
2025-10-03,2025-09-29,2025-10,5,0,billing question,phone,medium,billing support,1,0.00,11.97,19.82
2025-10-03,2025-09-29,2025-10,5,0,billing question,portal,high,billing support,1,0.00,4.13,8.30
2025-10-03,2025-09-29,2025-10,5,0,billing question,social,critical,billing support,1,0.00,2.09,2.59
2025-10-03,2025-09-29,2025-10,5,0,bug report,email,low,technical support,1,0.00,36.69,43.65
2025-10-03,2025-09-29,2025-10,5,0,bug report,portal,low,technical support,1,0.00,32.41,68.91
2025-10-03,2025-09-29,2025-10,5,0,data export,portal,high,platform operations,1,0.00,3.25,12.13
2025-10-03,2025-09-29,2025-10,5,0,data export,portal,medium,platform operations,1,0.00,38.84,46.13
2025-10-03,2025-09-29,2025-10,5,0,feature request,chat,low,customer success,1,0.00,16.46,19.33
2025-10-03,2025-09-29,2025-10,5,0,feature request,email,medium,customer success,1,0.00,19.32,19.82
2025-10-03,2025-09-29,2025-10,5,0,integration issue,email,medium,platform operations,2,0.50,20.81,50.57
2025-10-03,2025-09-29,2025-10,5,0,invoice dispute,chat,high,billing support,1,1.00,10.17,110.99
2025-10-03,2025-09-29,2025-10,5,0,invoice dispute,phone,medium,billing support,1,0.00,6.43,19.72
2025-10-03,2025-09-29,2025-10,5,0,login access,email,high,technical support,1,0.00,5.55,12.84
2025-10-03,2025-09-29,2025-10,5,0,login access,email,medium,technical support,1,0.00,6.95,16.95
2025-10-03,2025-09-29,2025-10,5,0,login access,portal,medium,technical support,1,0.00,9.09,15.62
2025-10-03,2025-09-29,2025-10,5,0,onboarding help,phone,medium,customer success,1,0.00,9.78,10.80
2025-10-04,2025-09-29,2025-10,6,1,billing question,chat,medium,billing support,1,1.00,5.13,52.56
2025-10-04,2025-09-29,2025-10,6,1,billing question,email,high,billing support,1,0.00,2.21,2.71
2025-10-04,2025-09-29,2025-10,6,1,billing question,phone,critical,billing support,1,0.00,0.79,4.90
2025-10-04,2025-09-29,2025-10,6,1,data export,email,medium,platform operations,1,1.00,10.00,49.16
2025-10-04,2025-09-29,2025-10,6,1,data export,portal,medium,platform operations,1,0.00,7.02,36.24
2025-10-04,2025-09-29,2025-10,6,1,integration issue,phone,low,platform operations,1,0.00,41.30,41.80
2025-10-04,2025-09-29,2025-10,6,1,invoice dispute,chat,high,billing support,1,0.00,9.25,17.17
2025-10-04,2025-09-29,2025-10,6,1,login access,chat,critical,technical support,1,1.00,1.95,8.14
2025-10-04,2025-09-29,2025-10,6,1,login access,chat,medium,technical support,1,0.00,10.28,11.05
2025-10-04,2025-09-29,2025-10,6,1,login access,email,medium,technical support,2,0.00,13.91,14.41
2025-10-04,2025-09-29,2025-10,6,1,login access,phone,high,technical support,1,0.00,3.21,19.75
2025-10-05,2025-09-29,2025-10,7,1,bug report,portal,low,technical support,1,0.00,62.55,63.05
2025-10-05,2025-09-29,2025-10,7,1,bug report,social,low,technical support,1,0.00,62.23,62.73
2025-10-05,2025-09-29,2025-10,7,1,feature request,chat,medium,customer success,1,0.00,20.92,21.42
2025-10-05,2025-09-29,2025-10,7,1,integration issue,email,critical,platform operations,1,1.00,2.08,12.77
2025-10-05,2025-09-29,2025-10,7,1,integration issue,portal,low,platform operations,1,1.00,32.22,89.04
2025-10-05,2025-09-29,2025-10,7,1,invoice dispute,email,medium,billing support,1,0.00,21.59,22.09
2025-10-05,2025-09-29,2025-10,7,1,invoice dispute,portal,medium,billing support,1,0.00,8.01,13.26
2025-10-05,2025-09-29,2025-10,7,1,invoice dispute,social,medium,billing support,1,0.00,12.15,24.14
2025-10-05,2025-09-29,2025-10,7,1,login access,chat,medium,technical support,1,0.00,6.64,20.34
2025-10-05,2025-09-29,2025-10,7,1,login access,phone,low,technical support,1,0.00,19.81,46.74
2025-10-06,2025-10-06,2025-10,1,0,billing question,chat,low,billing support,1,0.00,38.14,38.64
2025-10-06,2025-10-06,2025-10,1,0,billing question,email,high,billing support,1,0.00,2.87,7.51
2025-10-06,2025-10-06,2025-10,1,0,billing question,email,low,billing support,1,0.00,33.95,34.45
2025-10-06,2025-10-06,2025-10,1,0,billing question,phone,critical,billing support,1,1.00,1.16,20.29
2025-10-06,2025-10-06,2025-10,1,0,billing question,phone,high,billing support,1,1.00,2.84,5694.45
2025-10-06,2025-10-06,2025-10,1,0,billing question,phone,medium,billing support,1,0.00,13.96,14.69
2025-10-06,2025-10-06,2025-10,1,0,billing question,portal,high,billing support,1,0.00,3.15,10.24
2025-10-06,2025-10-06,2025-10,1,0,billing question,portal,low,billing support,1,0.00,13.33,32.31
2025-10-06,2025-10-06,2025-10,1,0,billing question,social,low,billing support,1,0.00,39.32,39.82
2025-10-06,2025-10-06,2025-10,1,0,bug report,chat,critical,technical support,1,0.00,0.50,5.80
2025-10-06,2025-10-06,2025-10,1,0,bug report,chat,low,technical support,1,0.00,60.11,60.61
2025-10-06,2025-10-06,2025-10,1,0,bug report,email,critical,technical support,1,1.00,1.11,5700.15
2025-10-06,2025-10-06,2025-10,1,0,bug report,phone,medium,technical support,1,0.00,19.22,19.72
2025-10-06,2025-10-06,2025-10,1,0,data export,chat,low,platform operations,1,0.00,27.96,82.29
2025-10-06,2025-10-06,2025-10,1,0,feature request,chat,high,customer success,1,0.00,8.98,12.32
2025-10-06,2025-10-06,2025-10,1,0,feature request,chat,low,customer success,1,0.00,10.35,45.38
2025-10-06,2025-10-06,2025-10,1,0,feature request,email,low,customer success,2,0.00,22.19,35.66
2025-10-06,2025-10-06,2025-10,1,0,feature request,portal,low,customer success,1,0.00,15.11,31.09
2025-10-06,2025-10-06,2025-10,1,0,integration issue,phone,high,platform operations,1,1.00,7.29,41.54
2025-10-06,2025-10-06,2025-10,1,0,invoice dispute,email,medium,billing support,1,0.00,18.76,25.16
2025-10-06,2025-10-06,2025-10,1,0,login access,chat,high,technical support,1,1.00,5.60,16.75
2025-10-06,2025-10-06,2025-10,1,0,login access,email,medium,technical support,1,0.00,5.36,11.68
2025-10-06,2025-10-06,2025-10,1,0,login access,phone,critical,technical support,1,0.00,1.12,4.66
2025-10-06,2025-10-06,2025-10,1,0,login access,portal,low,technical support,1,0.00,25.75,26.25
2025-10-06,2025-10-06,2025-10,1,0,onboarding help,chat,medium,customer success,1,0.00,12.32,21.06
2025-10-06,2025-10-06,2025-10,1,0,onboarding help,phone,medium,customer success,2,0.00,14.35,16.46
2025-10-06,2025-10-06,2025-10,1,0,onboarding help,portal,critical,customer success,1,0.00,0.48,5.41
2025-10-06,2025-10-06,2025-10,1,0,onboarding help,social,low,customer success,1,0.00,50.98,51.48
2025-10-07,2025-10-06,2025-10,2,0,billing question,chat,critical,billing support,1,1.00,1.10,10.16
2025-10-07,2025-10-06,2025-10,2,0,billing question,chat,medium,billing support,2,0.00,12.25,12.75
2025-10-07,2025-10-06,2025-10,2,0,billing question,email,medium,billing support,2,0.00,14.14,23.45
2025-10-07,2025-10-06,2025-10,2,0,billing question,phone,medium,billing support,1,0.00,22.28,46.48
2025-10-07,2025-10-06,2025-10,2,0,billing question,portal,critical,billing support,1,0.00,1.00,4.56
2025-10-07,2025-10-06,2025-10,2,0,bug report,chat,critical,technical support,1,1.00,1.65,21.39
2025-10-07,2025-10-06,2025-10,2,0,bug report,email,low,technical support,1,0.00,15.77,52.39
2025-10-07,2025-10-06,2025-10,2,0,bug report,email,medium,technical support,3,0.00,15.49,33.59
2025-10-07,2025-10-06,2025-10,2,0,bug report,portal,medium,technical support,1,1.00,14.86,37.82
2025-10-07,2025-10-06,2025-10,2,0,data export,chat,low,platform operations,1,0.00,26.34,36.05
2025-10-07,2025-10-06,2025-10,2,0,feature request,phone,medium,customer success,1,1.00,10.18,46.31
2025-10-07,2025-10-06,2025-10,2,0,feature request,portal,low,customer success,1,1.00,17.68,123.42
2025-10-07,2025-10-06,2025-10,2,0,feature request,portal,medium,customer success,1,0.00,9.87,22.67
2025-10-07,2025-10-06,2025-10,2,0,integration issue,chat,high,platform operations,1,1.00,4.53,56.05
2025-10-07,2025-10-06,2025-10,2,0,integration issue,email,medium,platform operations,1,1.00,18.29,5677.32
2025-10-07,2025-10-06,2025-10,2,0,invoice dispute,chat,low,billing support,1,0.00,25.48,47.12
2025-10-07,2025-10-06,2025-10,2,0,invoice dispute,social,medium,billing support,1,1.00,22.51,59.65
2025-10-07,2025-10-06,2025-10,2,0,login access,chat,critical,technical support,1,0.00,0.33,5.76
2025-10-07,2025-10-06,2025-10,2,0,login access,chat,medium,technical support,1,0.00,13.10,16.94
2025-10-07,2025-10-06,2025-10,2,0,login access,email,high,technical support,1,1.00,3.27,5666.03
2025-10-07,2025-10-06,2025-10,2,0,login access,email,medium,technical support,1,0.00,11.32,11.84
2025-10-07,2025-10-06,2025-10,2,0,login access,phone,high,technical support,1,0.00,3.28,10.89
2025-10-07,2025-10-06,2025-10,2,0,login access,phone,low,technical support,1,0.00,25.30,25.80
2025-10-07,2025-10-06,2025-10,2,0,onboarding help,chat,high,customer success,1,0.00,2.64,9.32
2025-10-07,2025-10-06,2025-10,2,0,onboarding help,chat,medium,customer success,1,0.00,27.65,28.15
2025-10-07,2025-10-06,2025-10,2,0,onboarding help,portal,medium,customer success,1,0.00,14.67,33.04
2025-10-08,2025-10-06,2025-10,3,0,abuse report,email,medium,trust and safety,1,1.00,21.29,90.02
2025-10-08,2025-10-06,2025-10,3,0,abuse report,portal,low,trust and safety,1,0.00,45.76,46.26
2025-10-08,2025-10-06,2025-10,3,0,abuse report,social,low,trust and safety,1,1.00,77.23,5649.78
2025-10-08,2025-10-06,2025-10,3,0,billing question,chat,high,billing support,1,0.00,1.46,9.66
2025-10-08,2025-10-06,2025-10,3,0,billing question,chat,low,billing support,1,0.00,30.89,31.39
2025-10-08,2025-10-06,2025-10,3,0,billing question,email,medium,billing support,1,0.00,14.96,15.46
2025-10-08,2025-10-06,2025-10,3,0,billing question,portal,low,billing support,1,0.00,34.35,34.85
2025-10-08,2025-10-06,2025-10,3,0,bug report,email,low,technical support,1,0.00,35.39,78.79
2025-10-08,2025-10-06,2025-10,3,0,bug report,email,medium,technical support,1,0.00,17.87,37.25
2025-10-08,2025-10-06,2025-10,3,0,bug report,phone,critical,technical support,1,1.00,1.70,14.46
2025-10-08,2025-10-06,2025-10,3,0,bug report,phone,low,technical support,1,0.00,29.01,77.04
2025-10-08,2025-10-06,2025-10,3,0,bug report,phone,medium,technical support,1,1.00,30.82,50.35
2025-10-08,2025-10-06,2025-10,3,0,bug report,portal,high,technical support,1,1.00,7.02,21.16
2025-10-08,2025-10-06,2025-10,3,0,data export,chat,high,platform operations,1,1.00,6.94,20.05
2025-10-08,2025-10-06,2025-10,3,0,data export,email,high,platform operations,1,0.00,5.38,10.96
2025-10-08,2025-10-06,2025-10,3,0,feature request,chat,low,customer success,1,0.00,15.02,27.07
2025-10-08,2025-10-06,2025-10,3,0,integration issue,email,low,platform operations,2,0.50,64.86,101.29
2025-10-08,2025-10-06,2025-10,3,0,integration issue,portal,low,platform operations,1,1.00,80.20,126.91
2025-10-08,2025-10-06,2025-10,3,0,invoice dispute,email,low,billing support,1,0.00,34.25,58.51
2025-10-08,2025-10-06,2025-10,3,0,invoice dispute,portal,medium,billing support,1,1.00,32.82,51.14
2025-10-08,2025-10-06,2025-10,3,0,login access,chat,high,technical support,2,0.00,2.32,8.48
2025-10-08,2025-10-06,2025-10,3,0,login access,chat,low,technical support,2,0.00,23.79,36.73
2025-10-08,2025-10-06,2025-10,3,0,login access,chat,medium,technical support,1,0.00,8.36,8.86
2025-10-08,2025-10-06,2025-10,3,0,login access,email,high,technical support,1,0.00,1.79,12.41
2025-10-08,2025-10-06,2025-10,3,0,login access,email,low,technical support,1,0.00,11.25,39.42
2025-10-08,2025-10-06,2025-10,3,0,onboarding help,email,critical,customer success,1,0.00,0.89,6.17
2025-10-08,2025-10-06,2025-10,3,0,onboarding help,email,low,customer success,1,0.00,36.94,37.44
2025-10-08,2025-10-06,2025-10,3,0,onboarding help,email,medium,customer success,1,0.00,7.79,20.74
2025-10-08,2025-10-06,2025-10,3,0,onboarding help,phone,low,customer success,1,0.00,28.33,28.83
2025-10-09,2025-10-06,2025-10,4,0,abuse report,email,medium,trust and safety,1,1.00,26.08,68.41
2025-10-09,2025-10-06,2025-10,4,0,abuse report,portal,high,trust and safety,1,1.00,3.75,24.92
2025-10-09,2025-10-06,2025-10,4,0,billing question,chat,low,billing support,1,0.00,5.28,20.95
2025-10-09,2025-10-06,2025-10,4,0,billing question,email,critical,billing support,1,0.00,0.92,4.59
2025-10-09,2025-10-06,2025-10,4,0,billing question,email,medium,billing support,1,0.00,19.12,19.62
2025-10-09,2025-10-06,2025-10,4,0,billing question,portal,low,billing support,1,1.00,17.70,5627.53
2025-10-09,2025-10-06,2025-10,4,0,bug report,chat,medium,technical support,1,0.00,15.04,30.70
2025-10-09,2025-10-06,2025-10,4,0,bug report,email,medium,technical support,2,0.00,15.54,29.57
2025-10-09,2025-10-06,2025-10,4,0,data export,chat,low,platform operations,1,0.00,42.89,53.74
2025-10-09,2025-10-06,2025-10,4,0,data export,phone,medium,platform operations,2,0.00,26.05,30.63
2025-10-09,2025-10-06,2025-10,4,0,feature request,chat,critical,customer success,1,1.00,2.26,7.91
2025-10-09,2025-10-06,2025-10,4,0,feature request,email,high,customer success,1,1.00,6.97,17.02
2025-10-09,2025-10-06,2025-10,4,0,integration issue,chat,low,platform operations,1,0.00,54.90,55.40
2025-10-09,2025-10-06,2025-10,4,0,integration issue,portal,medium,platform operations,1,1.00,18.02,82.77
2025-10-09,2025-10-06,2025-10,4,0,integration issue,social,low,platform operations,1,0.00,21.44,86.15
2025-10-09,2025-10-06,2025-10,4,0,invoice dispute,chat,medium,billing support,1,0.00,21.13,22.75
2025-10-09,2025-10-06,2025-10,4,0,invoice dispute,email,medium,billing support,1,1.00,13.40,37.23
2025-10-09,2025-10-06,2025-10,4,0,login access,chat,medium,technical support,1,0.00,12.26,20.96
2025-10-09,2025-10-06,2025-10,4,0,login access,email,low,technical support,1,0.00,20.19,20.69
2025-10-09,2025-10-06,2025-10,4,0,login access,phone,critical,technical support,1,1.00,0.42,8.95
2025-10-09,2025-10-06,2025-10,4,0,login access,phone,medium,technical support,2,0.00,12.52,18.05
2025-10-09,2025-10-06,2025-10,4,0,login access,portal,medium,technical support,1,0.00,15.61,16.11
2025-10-09,2025-10-06,2025-10,4,0,onboarding help,phone,medium,customer success,1,0.00,10.29,19.18
2025-10-10,2025-10-06,2025-10,5,0,billing question,phone,medium,billing support,2,0.00,11.55,14.73
2025-10-10,2025-10-06,2025-10,5,0,bug report,chat,medium,technical support,1,1.00,11.71,74.76
2025-10-10,2025-10-06,2025-10,5,0,bug report,phone,low,technical support,1,0.00,17.26,61.41
2025-10-10,2025-10-06,2025-10,5,0,feature request,portal,low,customer success,1,0.00,33.53,34.03
2025-10-10,2025-10-06,2025-10,5,0,feature request,portal,medium,customer success,1,0.00,24.10,24.60
2025-10-10,2025-10-06,2025-10,5,0,integration issue,chat,low,platform operations,1,0.00,40.28,56.37
2025-10-10,2025-10-06,2025-10,5,0,login access,chat,high,technical support,1,1.00,3.29,31.63
2025-10-10,2025-10-06,2025-10,5,0,login access,chat,medium,technical support,1,0.00,10.07,38.00
2025-10-10,2025-10-06,2025-10,5,0,login access,email,medium,technical support,1,0.00,9.52,20.87
2025-10-10,2025-10-06,2025-10,5,0,login access,social,medium,technical support,1,0.00,5.98,8.79
2025-10-10,2025-10-06,2025-10,5,0,onboarding help,email,high,customer success,1,1.00,2.65,20.83
2025-10-10,2025-10-06,2025-10,5,0,onboarding help,email,low,customer success,1,0.00,30.98,31.48
2025-10-11,2025-10-06,2025-10,6,1,billing question,social,medium,billing support,1,0.00,11.94,12.44
2025-10-11,2025-10-06,2025-10,6,1,bug report,chat,low,technical support,1,0.00,10.18,59.08
2025-10-11,2025-10-06,2025-10,6,1,feature request,portal,medium,customer success,1,0.00,16.36,28.09
2025-10-11,2025-10-06,2025-10,6,1,integration issue,email,high,platform operations,1,0.00,4.19,10.77
2025-10-11,2025-10-06,2025-10,6,1,onboarding help,chat,low,customer success,1,0.00,34.95,35.45
2025-10-11,2025-10-06,2025-10,6,1,onboarding help,email,low,customer success,1,0.00,31.31,50.19
2025-10-12,2025-10-06,2025-10,7,1,bug report,email,high,technical support,1,1.00,3.90,5554.72
2025-10-12,2025-10-06,2025-10,7,1,bug report,phone,medium,technical support,1,1.00,16.46,43.84
2025-10-12,2025-10-06,2025-10,7,1,feature request,chat,medium,customer success,1,0.00,10.67,45.27
2025-10-12,2025-10-06,2025-10,7,1,feature request,portal,critical,customer success,1,0.00,1.86,5.14
2025-10-12,2025-10-06,2025-10,7,1,integration issue,portal,medium,platform operations,1,1.00,14.30,55.78
2025-10-12,2025-10-06,2025-10,7,1,login access,chat,high,technical support,1,0.00,3.97,17.01
2025-10-12,2025-10-06,2025-10,7,1,onboarding help,email,high,customer success,1,0.00,7.62,8.12
2025-10-13,2025-10-13,2025-10,1,0,billing question,email,low,billing support,1,0.00,8.33,47.15
2025-10-13,2025-10-13,2025-10,1,0,billing question,email,medium,billing support,1,0.00,13.88,14.38
2025-10-13,2025-10-13,2025-10,1,0,bug report,email,critical,technical support,1,1.00,0.84,8.00
2025-10-13,2025-10-13,2025-10,1,0,bug report,email,low,technical support,2,0.00,17.38,65.22
2025-10-13,2025-10-13,2025-10,1,0,bug report,phone,medium,technical support,1,0.00,17.01,26.34
2025-10-13,2025-10-13,2025-10,1,0,bug report,portal,high,technical support,1,0.00,11.43,14.03
2025-10-13,2025-10-13,2025-10,1,0,bug report,portal,medium,technical support,1,0.00,24.79,28.53
2025-10-13,2025-10-13,2025-10,1,0,data export,email,medium,platform operations,1,0.00,19.08,32.68
2025-10-13,2025-10-13,2025-10,1,0,feature request,chat,high,customer success,1,0.00,1.99,15.36
2025-10-13,2025-10-13,2025-10,1,0,feature request,email,low,customer success,2,0.50,51.82,2801.16
2025-10-13,2025-10-13,2025-10,1,0,feature request,portal,high,customer success,1,1.00,3.03,31.60
2025-10-13,2025-10-13,2025-10,1,0,feature request,portal,low,customer success,1,0.00,31.86,53.66
2025-10-13,2025-10-13,2025-10,1,0,integration issue,email,low,platform operations,1,0.00,37.18,87.76
2025-10-13,2025-10-13,2025-10,1,0,integration issue,email,medium,platform operations,1,0.00,15.17,53.07
2025-10-13,2025-10-13,2025-10,1,0,integration issue,phone,medium,platform operations,2,1.00,10.57,120.41
2025-10-13,2025-10-13,2025-10,1,0,integration issue,portal,critical,platform operations,1,1.00,1.55,14.59
2025-10-13,2025-10-13,2025-10,1,0,invoice dispute,chat,medium,billing support,1,0.00,25.74,51.10
2025-10-13,2025-10-13,2025-10,1,0,invoice dispute,email,critical,billing support,1,0.00,1.24,6.67
2025-10-13,2025-10-13,2025-10,1,0,invoice dispute,email,high,billing support,2,0.00,5.71,8.82
2025-10-13,2025-10-13,2025-10,1,0,invoice dispute,portal,medium,billing support,1,0.00,9.81,28.74
2025-10-13,2025-10-13,2025-10,1,0,login access,chat,high,technical support,2,0.00,2.67,9.69
2025-10-13,2025-10-13,2025-10,1,0,login access,email,low,technical support,1,0.00,20.09,25.22
2025-10-13,2025-10-13,2025-10,1,0,login access,portal,medium,technical support,1,0.00,6.51,21.43
2025-10-13,2025-10-13,2025-10,1,0,onboarding help,phone,medium,customer success,1,0.00,13.92,42.57
2025-10-14,2025-10-13,2025-10,2,0,billing question,chat,low,billing support,1,0.00,16.95,17.45
2025-10-14,2025-10-13,2025-10,2,0,billing question,chat,medium,billing support,1,0.00,3.93,19.04
2025-10-14,2025-10-13,2025-10,2,0,billing question,email,high,billing support,1,0.00,5.22,5.72
2025-10-14,2025-10-13,2025-10,2,0,billing question,email,low,billing support,1,0.00,15.03,15.90
2025-10-14,2025-10-13,2025-10,2,0,billing question,email,medium,billing support,1,0.00,8.46,13.43
2025-10-14,2025-10-13,2025-10,2,0,billing question,phone,medium,billing support,1,0.00,7.76,20.01
2025-10-14,2025-10-13,2025-10,2,0,bug report,chat,high,technical support,2,0.50,3.09,26.13
2025-10-14,2025-10-13,2025-10,2,0,bug report,email,low,technical support,1,0.00,51.44,55.44
2025-10-14,2025-10-13,2025-10,2,0,bug report,email,medium,technical support,1,0.00,9.89,28.12
2025-10-14,2025-10-13,2025-10,2,0,feature request,email,low,customer success,1,0.00,29.93,44.64
2025-10-14,2025-10-13,2025-10,2,0,feature request,phone,medium,customer success,1,1.00,5.66,52.28
2025-10-14,2025-10-13,2025-10,2,0,feature request,portal,medium,customer success,1,0.00,21.99,31.13
2025-10-14,2025-10-13,2025-10,2,0,integration issue,chat,low,platform operations,1,0.00,33.48,81.48
2025-10-14,2025-10-13,2025-10,2,0,integration issue,phone,medium,platform operations,1,1.00,29.86,61.14
2025-10-14,2025-10-13,2025-10,2,0,invoice dispute,email,critical,billing support,1,0.00,2.15,3.43
2025-10-14,2025-10-13,2025-10,2,0,invoice dispute,email,medium,billing support,1,0.00,21.83,22.33
2025-10-14,2025-10-13,2025-10,2,0,login access,chat,high,technical support,1,0.00,3.03,3.53
2025-10-14,2025-10-13,2025-10,2,0,login access,chat,medium,technical support,1,0.00,27.66,28.16
2025-10-14,2025-10-13,2025-10,2,0,login access,email,low,technical support,1,0.00,16.38,67.77
2025-10-14,2025-10-13,2025-10,2,0,login access,email,medium,technical support,2,0.00,9.57,14.43
2025-10-14,2025-10-13,2025-10,2,0,onboarding help,chat,medium,customer success,1,0.00,16.06,23.85
2025-10-15,2025-10-13,2025-10,3,0,abuse report,chat,medium,trust and safety,1,0.00,10.81,41.28
2025-10-15,2025-10-13,2025-10,3,0,abuse report,portal,critical,trust and safety,1,1.00,2.15,7.97
2025-10-15,2025-10-13,2025-10,3,0,billing question,chat,critical,billing support,1,0.00,0.68,1.81
2025-10-15,2025-10-13,2025-10,3,0,billing question,email,low,billing support,1,0.00,28.12,28.62
2025-10-15,2025-10-13,2025-10,3,0,billing question,portal,critical,billing support,1,0.00,1.52,2.67
2025-10-15,2025-10-13,2025-10,3,0,billing question,portal,medium,billing support,1,0.00,9.24,9.74
2025-10-15,2025-10-13,2025-10,3,0,bug report,chat,low,technical support,1,0.00,18.47,54.80
2025-10-15,2025-10-13,2025-10,3,0,bug report,email,critical,technical support,1,1.00,1.06,32.56
2025-10-15,2025-10-13,2025-10,3,0,bug report,email,medium,technical support,1,0.00,13.54,35.84
