event_id,ticket_id,event_time,event_type,old_status,new_status,agent_id
evt_0000035,tck_000009,2025-10-02 14:09,first_response,assigned,in_progress,agt_013
evt_0000036,tck_000009,2025-10-06 21:56,closed,in_progress,closed,agt_013
evt_0000037,tck_000010,2025-10-01 14:14,created,,open,
evt_0000038,tck_000010,2025-10-01 14:38,assigned,open,assigned,agt_014
evt_0000039,tck_000010,2025-10-02 09:59,first_response,assigned,in_progress,agt_014
evt_0000040,tck_000010,2025-10-03 03:14,escalated,in_progress,escalated,agt_014
evt_0000041,tck_000011,2025-10-01 19:36,created,,open,
evt_0000042,tck_000011,2025-10-01 19:42,assigned,open,assigned,agt_001
evt_0000043,tck_000011,2025-10-02 17:10,first_response,assigned,in_progress,agt_001
evt_0000044,tck_000011,2025-10-02 19:59,closed,in_progress,closed,agt_001
evt_0000045,tck_000012,2025-10-01 18:15,created,,open,
evt_0000046,tck_000012,2025-10-01 18:22,assigned,open,assigned,agt_005
evt_0000047,tck_000012,2025-10-01 18:55,first_response,assigned,in_progress,agt_005
evt_0000048,tck_000012,2025-10-01 22:09,escalated,in_progress,escalated,agt_005
evt_0000049,tck_000012,2025-10-02 00:16,closed,in_progress,resolved,agt_005
evt_0000050,tck_000013,2025-10-01 17:05,created,,open,
evt_0000051,tck_000013,2025-10-01 17:37,assigned,open,assigned,agt_007
evt_0000052,tck_000013,2025-10-01 19:13,first_response,assigned,in_progress,agt_007
evt_0000053,tck_000013,2025-10-01 23:18,closed,in_progress,closed,agt_007
evt_0000054,tck_000014,2025-10-01 13:12,created,,open,
evt_0000055,tck_000014,2025-10-01 13:48,assigned,open,assigned,agt_004
evt_0000056,tck_000014,2025-10-02 05:39,first_response,assigned,in_progress,agt_004
evt_0000057,tck_000014,2025-10-03 09:29,closed,in_progress,closed,agt_004
evt_0000058,tck_000015,2025-10-01 15:15,created,,open,
evt_0000060,tck_000015,2025-10-01 15:27,first_response,assigned,in_progress,agt_004
evt_0000059,tck_000015,2025-10-01 15:38,assigned,open,assigned,agt_004
evt_0000061,tck_000015,2025-10-01 20:54,closed,in_progress,closed,agt_004
evt_0000062,tck_000016,2025-10-01 15:19,created,,open,
evt_0000063,tck_000016,2025-10-01 15:54,assigned,open,assigned,agt_012
evt_0000064,tck_000016,2025-10-02 13:15,first_response,assigned,in_progress,agt_012
evt_0000065,tck_000016,2025-10-04 23:41,closed,in_progress,closed,agt_012
evt_0000066,tck_000017,2025-10-01 08:53,created,,open,
evt_0000067,tck_000017,2025-10-01 09:12,assigned,open,assigned,agt_002
evt_0000068,tck_000017,2025-10-01 13:42,first_response,assigned,in_progress,agt_002
evt_0000069,tck_000017,2025-10-02 04:21,closed,in_progress,resolved,agt_002
evt_0000070,tck_000018,2025-10-01 16:13,created,,open,
evt_0000071,tck_000018,2025-10-01 16:56,assigned,open,assigned,agt_004
evt_0000072,tck_000018,2025-10-03 17:31,first_response,assigned,in_progress,agt_004
evt_0000073,tck_000018,2025-10-03 18:01,closed,in_progress,closed,agt_004
evt_0000074,tck_000019,2025-10-01 10:47,created,,open,
evt_0000075,tck_000019,2025-10-01 11:13,assigned,open,assigned,agt_015
evt_0000076,tck_000019,2025-10-02 13:22,first_response,assigned,in_progress,agt_015
evt_0000077,tck_000019,2025-10-04 01:58,closed,in_progress,closed,agt_015
evt_0000078,tck_000020,2025-10-01 17:55,created,,open,
evt_0000079,tck_000020,2025-10-01 18:24,assigned,open,assigned,agt_007
evt_0000080,tck_000020,2025-10-02 06:07,first_response,assigned,in_progress,agt_007
evt_0000081,tck_000020,2025-10-03 12:45,closed,in_progress,closed,agt_007
evt_0000082,tck_000021,2025-10-01 17:11,created,,open,
evt_0000083,tck_000021,2025-10-01 17:43,assigned,open,assigned,agt_014
evt_0000084,tck_000021,2025-10-01 23:35,first_response,assigned,in_progress,agt_014
evt_0000085,tck_000021,2025-10-02 00:05,closed,in_progress,resolved,agt_014
evt_0000086,tck_000022,2025-10-01 11:17,created,,open,
evt_0000087,tck_000022,2025-10-01 11:31,assigned,open,assigned,agt_015
evt_0000088,tck_000022,2025-10-01 14:29,first_response,assigned,in_progress,agt_015
evt_0000089,tck_000022,2025-10-02 09:17,escalated,in_progress,escalated,agt_015
evt_0000090,tck_000022,2025-10-03 03:01,closed,in_progress,resolved,agt_015
evt_0000091,tck_000023,2025-10-01 16:27,created,,open,
evt_0000092,tck_000023,2025-10-01 17:04,assigned,open,assigned,agt_005
evt_0000093,tck_000023,2025-10-01 17:24,first_response,assigned,in_progress,agt_005
evt_0000094,tck_000023,2025-10-01 20:10,closed,in_progress,closed,agt_005
evt_0000095,tck_000024,2025-10-01 20:58,created,,open,
evt_0000096,tck_000024,2025-10-01 21:27,assigned,open,assigned,agt_005
evt_0000097,tck_000024,2025-10-01 21:54,first_response,assigned,in_progress,agt_005
evt_0000098,tck_000024,2025-10-02 05:58,escalated,in_progress,escalated,agt_005
evt_0000099,tck_000024,2025-10-03 02:25,closed,in_progress,closed,agt_005
evt_0000100,tck_000025,2025-10-01 11:47,created,,open,
evt_0000101,tck_000025,2025-10-01 12:17,assigned,open,assigned,agt_004
evt_0000102,tck_000025,2025-10-02 20:06,first_response,assigned,in_progress,agt_004
evt_0000103,tck_000025,2025-10-03 12:47,escalated,in_progress,escalated,agt_004
evt_0000104,tck_000026,2025-10-01 13:50,created,,open,
evt_0000105,tck_000026,2025-10-01 13:54,assigned,open,assigned,agt_010
evt_0000106,tck_000026,2025-10-02 03:57,first_response,assigned,in_progress,agt_010
evt_0000107,tck_000026,2025-10-02 04:27,closed,in_progress,closed,agt_010
evt_0000108,tck_000027,2025-10-01 18:36,created,,open,
evt_0000109,tck_000027,2025-10-01 18:45,assigned,open,assigned,agt_003
evt_0000110,tck_000027,2025-10-01 19:01,first_response,assigned,in_progress,agt_003
evt_0000111,tck_000027,2025-10-02 00:21,closed,in_progress,closed,agt_003
evt_0000112,tck_000028,2025-10-02 08:08,created,,open,
evt_0000113,tck_000028,2025-10-02 08:46,assigned,open,assigned,agt_018
evt_0000114,tck_000028,2025-10-03 05:28,first_response,assigned,in_progress,agt_018
evt_0000115,tck_000028,2025-10-03 12:00,closed,in_progress,closed,agt_018
evt_0000116,tck_000029,2025-10-02 17:17,created,,open,
evt_0000117,tck_000029,2025-10-02 17:54,assigned,open,assigned,agt_007
evt_0000118,tck_000029,2025-10-04 01:53,first_response,assigned,in_progress,agt_007
evt_0000119,tck_000029,2025-10-04 02:23,closed,in_progress,closed,agt_007
evt_0000120,tck_000030,2025-10-02 12:21,created,,open,
evt_0000121,tck_000030,2025-10-02 12:25,assigned,open,assigned,agt_001
evt_0000122,tck_000030,2025-10-03 09:28,first_response,assigned,in_progress,agt_001
evt_0000123,tck_000030,2025-10-03 09:58,closed,in_progress,closed,agt_001
evt_0000124,tck_000031,2025-10-02 16:54,created,,open,
evt_0000125,tck_000031,2025-10-02 17:07,assigned,open,assigned,agt_009
evt_0000126,tck_000031,2025-10-02 22:18,first_response,assigned,in_progress,agt_009
evt_0000127,tck_000031,2025-10-03 03:28,escalated,in_progress,escalated,agt_009
evt_0000128,tck_000031,2025-10-03 09:09,closed,in_progress,closed,agt_009
evt_0000129,tck_000032,2025-10-02 14:42,created,,open,
evt_0000130,tck_000032,2025-10-02 15:09,assigned,open,assigned,agt_018
evt_0000131,tck_000032,2025-10-02 17:07,first_response,assigned,in_progress,agt_018
evt_0000132,tck_000032,2025-10-02 21:45,closed,in_progress,closed,agt_018
evt_0000133,tck_000033,2025-10-02 16:03,created,,open,
evt_0000134,tck_000033,2025-10-02 16:14,assigned,open,assigned,agt_003
evt_0000135,tck_000033,2025-10-02 18:29,first_response,assigned,in_progress,agt_003
evt_0000136,tck_000033,2025-10-03 01:03,escalated,in_progress,escalated,agt_003
evt_0000137,tck_000033,2025-10-03 13:40,closed,in_progress,closed,agt_003
evt_0000138,tck_000034,2025-10-02 11:38,created,,open,
evt_0000139,tck_000034,2025-10-02 12:06,assigned,open,assigned,agt_005
evt_0000140,tck_000034,2025-10-03 14:37,first_response,assigned,in_progress,agt_005
evt_0000141,tck_000034,2025-10-03 15:07,closed,in_progress,resolved,agt_005
evt_0000142,tck_000035,2025-10-02 15:19,created,,open,
evt_0000143,tck_000035,2025-10-02 15:48,assigned,open,assigned,agt_011
evt_0000144,tck_000035,2025-10-05 01:37,first_response,assigned,in_progress,agt_011
evt_0000145,tck_000035,2025-10-05 22:17,closed,in_progress,closed,agt_011
evt_0000146,tck_000036,2025-10-02 15:27,created,,open,
evt_0000147,tck_000036,2025-10-02 15:59,assigned,open,assigned,agt_018
evt_0000148,tck_000036,2025-10-03 06:00,first_response,assigned,in_progress,agt_018
evt_0000149,tck_000036,2025-10-04 20:18,closed,in_progress,closed,agt_018
evt_0000150,tck_000037,2025-10-02 07:56,created,,open,
evt_0000151,tck_000037,2025-10-02 08:21,assigned,open,assigned,agt_016
evt_0000152,tck_000037,2025-10-03 01:33,first_response,assigned,in_progress,agt_016
evt_0000153,tck_000037,2025-10-04 03:53,escalated,in_progress,escalated,agt_016
evt_0000154,tck_000037,2025-10-05 03:33,closed,in_progress,closed,agt_016
evt_0000155,tck_000038,2025-10-02 01:12,created,,open,
evt_0000156,tck_000038,2025-10-02 01:20,assigned,open,assigned,agt_009
evt_0000157,tck_000038,2025-10-02 13:17,first_response,assigned,in_progress,agt_009
evt_0000158,tck_000038,2025-10-03 14:42,closed,in_progress,closed,agt_009
evt_0000159,tck_000039,2025-10-02 14:22,created,,open,
evt_0000160,tck_000039,2025-10-02 14:32,assigned,open,assigned,agt_002
evt_0000161,tck_000039,2025-10-03 01:22,first_response,assigned,in_progress,agt_002
evt_0000162,tck_000039,2025-10-03 09:43,closed,in_progress,closed,agt_002
evt_0000163,tck_000040,2025-10-02 10:37,created,,open,
evt_0000164,tck_000040,2025-10-02 10:51,assigned,open,assigned,agt_010
evt_0000165,tck_000040,2025-10-02 13:05,first_response,assigned,in_progress,agt_010
evt_0000166,tck_000040,2025-10-02 16:20,closed,in_progress,closed,agt_010
evt_0000167,tck_000041,2025-10-02 10:08,created,,open,
evt_0000168,tck_000041,2025-10-02 10:18,assigned,open,assigned,agt_001
evt_0000169,tck_000041,2025-10-03 10:07,first_response,assigned,in_progress,agt_001
evt_0000170,tck_000041,2025-10-03 11:28,closed,in_progress,resolved,agt_001
evt_0000171,tck_000042,2025-10-02 08:36,created,,open,
evt_0000172,tck_000042,2025-10-02 09:03,assigned,open,assigned,agt_008
evt_0000173,tck_000042,2025-10-02 16:35,first_response,assigned,in_progress,agt_008
evt_0000174,tck_000042,2025-10-03 06:01,closed,in_progress,closed,agt_008
evt_0000175,tck_000043,2025-10-02 14:39,created,,open,
evt_0000176,tck_000043,2025-10-02 15:20,assigned,open,assigned,agt_005
evt_0000177,tck_000043,2025-10-03 07:21,first_response,assigned,in_progress,agt_005
evt_0000178,tck_000043,2025-10-03 07:51,closed,in_progress,closed,agt_005
evt_0000179,tck_000044,2025-10-02 07:14,created,,open,
evt_0000180,tck_000044,2025-10-02 07:34,assigned,open,assigned,agt_007
evt_0000181,tck_000044,2025-10-03 11:28,first_response,assigned,in_progress,agt_007
evt_0000182,tck_000044,2025-10-04 11:20,closed,in_progress,closed,agt_007
evt_0000183,tck_000045,2025-10-02 14:18,created,,open,
evt_0000184,tck_000045,2025-10-02 14:48,assigned,open,assigned,agt_010
evt_0000185,tck_000045,2025-10-03 19:17,first_response,assigned,in_progress,agt_010
evt_0000186,tck_000045,2025-10-04 00:53,closed,in_progress,closed,agt_010
evt_0000187,tck_000046,2025-10-02 18:37,created,,open,
evt_0000188,tck_000046,2025-10-02 19:17,assigned,open,assigned,agt_010
evt_0000189,tck_000046,2025-10-03 11:01,first_response,assigned,in_progress,agt_010
evt_0000190,tck_000046,2025-10-03 17:21,closed,in_progress,closed,agt_010
evt_0000191,tck_000047,2025-10-02 10:06,created,,open,
evt_0000192,tck_000047,2025-10-02 10:29,assigned,open,assigned,agt_014
evt_0000193,tck_000047,2025-10-02 19:22,first_response,assigned,in_progress,agt_014
evt_0000194,tck_000047,2025-10-03 08:45,escalated,in_progress,escalated,agt_014
evt_0000195,tck_000047,2025-10-03 20:58,closed,in_progress,closed,agt_014
evt_0000196,tck_000048,2025-10-02 00:55,created,,open,
evt_0000197,tck_000048,2025-10-02 01:01,assigned,open,assigned,agt_017
evt_0000198,tck_000048,2025-10-03 08:38,first_response,assigned,in_progress,agt_017
evt_0000199,tck_000048,2025-10-03 09:08,closed,in_progress,closed,agt_017
evt_0000200,tck_000049,2025-10-02 08:40,created,,open,
evt_0000201,tck_000049,2025-10-02 09:12,assigned,open,assigned,agt_004
evt_0000202,tck_000049,2025-10-03 00:44,first_response,assigned,in_progress,agt_004
evt_0000203,tck_000049,2025-10-03 01:31,closed,in_progress,closed,agt_004
evt_0000204,tck_000050,2025-10-02 15:26,created,,open,
evt_0000205,tck_000050,2025-10-02 15:33,assigned,open,assigned,agt_011
evt_0000206,tck_000050,2025-10-03 00:58,first_response,assigned,in_progress,agt_011
evt_0000207,tck_000050,2025-10-03 01:28,closed,in_progress,resolved,agt_011
evt_0000208,tck_000051,2025-10-02 17:18,created,,open,
evt_0000209,tck_000051,2025-10-02 17:55,assigned,open,assigned,agt_003
evt_0000210,tck_000051,2025-10-03 10:07,first_response,assigned,in_progress,agt_003
evt_0000211,tck_000051,2025-10-03 11:29,escalated,in_progress,escalated,agt_003
evt_0000212,tck_000051,2025-10-03 21:17,closed,in_progress,closed,agt_003
evt_0000213,tck_000052,2025-10-02 11:54,created,,open,
evt_0000214,tck_000052,2025-10-02 12:06,assigned,open,assigned,agt_014
evt_0000215,tck_000052,2025-10-02 23:34,first_response,assigned,in_progress,agt_014
evt_0000216,tck_000052,2025-10-03 09:54,escalated,in_progress,escalated,agt_014
evt_0000217,tck_000052,2025-10-04 07:25,closed,in_progress,closed,agt_014
evt_0000218,tck_000053,2025-10-02 18:28,created,,open,
evt_0000219,tck_000053,2025-10-02 19:11,assigned,open,assigned,agt_007
evt_0000220,tck_000053,2025-10-03 07:35,first_response,assigned,in_progress,agt_007
evt_0000221,tck_000053,2025-10-03 17:29,closed,in_progress,closed,agt_007
evt_0000222,tck_000054,2025-10-02 15:58,created,,open,
evt_0000223,tck_000054,2025-10-02 16:20,assigned,open,assigned,agt_008
evt_0000224,tck_000054,2025-10-02 18:51,first_response,assigned,in_progress,agt_008
evt_0000225,tck_000054,2025-10-03 07:32,escalated,in_progress,escalated,agt_008
evt_0000226,tck_000054,2025-10-03 15:55,closed,in_progress,closed,agt_008
evt_0000227,tck_000055,2025-10-02 08:33,created,,open,
evt_0000228,tck_000055,2025-10-02 09:13,assigned,open,assigned,agt_012
evt_0000229,tck_000055,2025-10-03 12:46,first_response,assigned,in_progress,agt_012
evt_0000230,tck_000055,2025-10-04 03:27,closed,in_progress,closed,agt_012
evt_0000231,tck_000056,2025-10-03 17:57,created,,open,
evt_0000232,tck_000056,2025-10-03 18:22,assigned,open,assigned,agt_001
evt_0000233,tck_000056,2025-10-04 00:54,first_response,assigned,in_progress,agt_001
evt_0000234,tck_000056,2025-10-04 10:54,closed,in_progress,closed,agt_001
evt_0000235,tck_000057,2025-10-03 10:36,created,,open,
evt_0000236,tck_000057,2025-10-03 10:55,assigned,open,assigned,agt_006
evt_0000237,tck_000057,2025-10-03 12:41,first_response,assigned,in_progress,agt_006
evt_0000238,tck_000057,2025-10-03 13:11,closed,in_progress,closed,agt_006
evt_0000239,tck_000058,2025-10-03 19:41,created,,open,
evt_0000240,tck_000058,2025-10-03 20:16,assigned,open,assigned,agt_006
evt_0000241,tck_000058,2025-10-04 02:06,first_response,assigned,in_progress,agt_006
evt_0000242,tck_000058,2025-10-04 15:24,closed,in_progress,closed,agt_006
evt_0000243,tck_000059,2025-10-03 17:47,created,,open,
evt_0000244,tck_000059,2025-10-03 18:15,assigned,open,assigned,agt_012
evt_0000245,tck_000059,2025-10-03 23:27,first_response,assigned,in_progress,agt_012
evt_0000246,tck_000059,2025-10-04 10:47,escalated,in_progress,escalated,agt_012
evt_0000247,tck_000059,2025-10-05 02:01,closed,in_progress,closed,agt_012
evt_0000248,tck_000060,2025-10-03 13:29,created,,open,
evt_0000249,tck_000060,2025-10-03 14:11,assigned,open,assigned,agt_014
evt_0000250,tck_000060,2025-10-03 16:44,first_response,assigned,in_progress,agt_014
evt_0000251,tck_000060,2025-10-04 01:36,closed,in_progress,closed,agt_014
evt_0000252,tck_000061,2025-10-03 17:58,created,,open,
evt_0000253,tck_000061,2025-10-03 18:24,assigned,open,assigned,agt_008
evt_0000254,tck_000061,2025-10-04 13:16,first_response,assigned,in_progress,agt_008
evt_0000255,tck_000061,2025-10-04 13:46,closed,in_progress,closed,agt_008
evt_0000256,tck_000062,2025-10-03 08:26,created,,open,
evt_0000257,tck_000062,2025-10-03 08:44,assigned,open,assigned,agt_007
evt_0000258,tck_000062,2025-10-03 18:36,first_response,assigned,in_progress,agt_007
evt_0000259,tck_000062,2025-10-04 09:26,escalated,in_progress,escalated,agt_007
evt_0000260,tck_000062,2025-10-07 23:25,closed,in_progress,closed,agt_007
evt_0000261,tck_000063,2025-10-03 11:25,created,,open,
evt_0000262,tck_000063,2025-10-03 11:41,assigned,open,assigned,agt_018
evt_0000263,tck_000063,2025-10-04 03:52,first_response,assigned,in_progress,agt_018
evt_0000264,tck_000063,2025-10-04 06:44,closed,in_progress,closed,agt_018
evt_0000265,tck_000064,2025-10-03 10:09,created,,open,
evt_0000266,tck_000064,2025-10-03 10:49,assigned,open,assigned,agt_017
evt_0000267,tck_000064,2025-10-03 15:42,first_response,assigned,in_progress,agt_017
evt_0000268,tck_000064,2025-10-03 22:59,closed,in_progress,closed,agt_017
evt_0000269,tck_000065,2025-10-03 16:30,created,,open,
evt_0000270,tck_000065,2025-10-03 17:15,assigned,open,assigned,agt_003
evt_0000271,tck_000065,2025-10-05 00:54,first_response,assigned,in_progress,agt_003
evt_0000272,tck_000065,2025-10-06 13:24,closed,in_progress,closed,agt_003
evt_0000273,tck_000066,2025-10-03 11:43,created,,open,
evt_0000274,tck_000066,2025-10-03 12:10,assigned,open,assigned,agt_006
evt_0000275,tck_000066,2025-10-03 16:58,first_response,assigned,in_progress,agt_006
evt_0000276,tck_000066,2025-10-03 23:01,closed,in_progress,closed,agt_006
evt_0000277,tck_000067,2025-10-03 15:54,created,,open,
evt_0000278,tck_000067,2025-10-03 16:23,assigned,open,assigned,agt_014
evt_0000279,tck_000067,2025-10-05 06:44,first_response,assigned,in_progress,agt_014
evt_0000280,tck_000067,2025-10-05 14:01,closed,in_progress,resolved,agt_014
evt_0000281,tck_000068,2025-10-03 15:23,created,,open,
evt_0000282,tck_000068,2025-10-03 16:01,assigned,open,assigned,agt_014
evt_0000283,tck_000068,2025-10-04 09:25,first_response,assigned,in_progress,agt_014
evt_0000284,tck_000068,2025-10-04 16:23,closed,in_progress,closed,agt_014
evt_0000285,tck_000069,2025-10-03 12:58,created,,open,
evt_0000286,tck_000069,2025-10-03 13:07,assigned,open,assigned,agt_007
evt_0000287,tck_000069,2025-10-04 00:56,first_response,assigned,in_progress,agt_007
evt_0000288,tck_000069,2025-10-04 08:47,closed,in_progress,closed,agt_007
evt_0000289,tck_000070,2025-10-03 12:35,created,,open,
evt_0000290,tck_000070,2025-10-03 12:38,assigned,open,assigned,agt_014
evt_0000291,tck_000070,2025-10-04 12:09,first_response,assigned,in_progress,agt_014
evt_0000292,tck_000070,2025-10-05 01:35,escalated,in_progress,escalated,agt_014
evt_0000293,tck_000070,2025-10-06 16:42,closed,in_progress,closed,agt_014
evt_0000294,tck_000071,2025-10-03 21:05,created,,open,
evt_0000295,tck_000071,2025-10-03 21:44,assigned,open,assigned,agt_004
evt_0000296,tck_000071,2025-10-05 09:46,first_response,assigned,in_progress,agt_004
evt_0000297,tck_000071,2025-10-05 16:44,closed,in_progress,closed,agt_004
evt_0000298,tck_000072,2025-10-03 07:28,created,,open,
evt_0000299,tck_000072,2025-10-03 08:08,assigned,open,assigned,agt_005
evt_0000300,tck_000072,2025-10-03 11:35,first_response,assigned,in_progress,agt_005
evt_0000301,tck_000072,2025-10-03 15:46,closed,in_progress,closed,agt_005
evt_0000302,tck_000073,2025-10-03 00:19,created,,open,
evt_0000303,tck_000073,2025-10-03 00:56,assigned,open,assigned,agt_006
evt_0000304,tck_000073,2025-10-03 11:06,first_response,assigned,in_progress,agt_006
evt_0000305,tck_000073,2025-10-03 11:36,closed,in_progress,closed,agt_006
evt_0000306,tck_000074,2025-10-03 18:02,created,,open,
evt_0000307,tck_000074,2025-10-03 18:30,assigned,open,assigned,agt_008
evt_0000308,tck_000074,2025-10-04 03:48,first_response,assigned,in_progress,agt_008
evt_0000309,tck_000074,2025-10-04 04:50,closed,in_progress,closed,agt_008
evt_0000310,tck_000075,2025-10-03 19:05,created,,open,
evt_0000311,tck_000075,2025-10-03 19:29,assigned,open,assigned,agt_017
evt_0000312,tck_000075,2025-10-04 04:10,first_response,assigned,in_progress,agt_017
evt_0000313,tck_000075,2025-10-04 10:41,closed,in_progress,resolved,agt_017
evt_0000314,tck_000076,2025-10-04 10:52,created,,open,
evt_0000315,tck_000076,2025-10-04 11:36,assigned,open,assigned,agt_004
evt_0000316,tck_000076,2025-10-04 21:22,first_response,assigned,in_progress,agt_004
evt_0000317,tck_000076,2025-10-04 21:52,closed,in_progress,closed,agt_004
evt_0000318,tck_000077,2025-10-04 13:43,created,,open,
evt_0000319,tck_000077,2025-10-04 14:14,assigned,open,assigned,agt_003
evt_0000320,tck_000077,2025-10-04 15:40,first_response,assigned,in_progress,agt_003
evt_0000321,tck_000077,2025-10-04 19:00,escalated,in_progress,escalated,agt_003
evt_0000322,tck_000077,2025-10-04 21:51,closed,in_progress,closed,agt_003
evt_0000323,tck_000078,2025-10-04 11:02,created,,open,
evt_0000324,tck_000078,2025-10-04 11:07,assigned,open,assigned,agt_005
evt_0000325,tck_000078,2025-10-04 20:16,first_response,assigned,in_progress,agt_005
evt_0000326,tck_000078,2025-10-05 04:11,closed,in_progress,closed,agt_005
evt_0000327,tck_000079,2025-10-04 08:03,created,,open,
evt_0000328,tck_000079,2025-10-04 08:45,assigned,open,assigned,agt_006
evt_0000329,tck_000079,2025-10-04 10:15,first_response,assigned,in_progress,agt_006
evt_0000330,tck_000079,2025-10-04 10:45,closed,in_progress,closed,agt_006
evt_0000331,tck_000080,2025-10-04 13:50,created,,open,
evt_0000332,tck_000080,2025-10-04 14:35,assigned,open,assigned,agt_002
evt_0000333,tck_000080,2025-10-05 00:06,first_response,assigned,in_progress,agt_002
evt_0000334,tck_000080,2025-10-05 00:53,closed,in_progress,closed,agt_002
evt_0000335,tck_000081,2025-10-04 18:19,created,,open,
evt_0000336,tck_000081,2025-10-04 18:55,assigned,open,assigned,agt_015
evt_0000337,tck_000081,2025-10-05 04:18,first_response,assigned,in_progress,agt_015
evt_0000338,tck_000081,2025-10-06 02:16,escalated,in_progress,escalated,agt_015
evt_0000339,tck_000081,2025-10-06 19:28,closed,in_progress,closed,agt_015
evt_0000340,tck_000082,2025-10-04 20:21,created,,open,
evt_0000341,tck_000082,2025-10-04 20:30,assigned,open,assigned,agt_002
evt_0000342,tck_000082,2025-10-05 13:39,first_response,assigned,in_progress,agt_002
evt_0000343,tck_000082,2025-10-05 14:09,closed,in_progress,closed,agt_002
evt_0000344,tck_000083,2025-10-04 17:39,created,,open,
evt_0000345,tck_000083,2025-10-04 17:57,assigned,open,assigned,agt_006
evt_0000346,tck_000083,2025-10-04 22:46,first_response,assigned,in_progress,agt_006
evt_0000347,tck_000083,2025-10-06 03:48,escalated,in_progress,escalated,agt_006
evt_0000348,tck_000083,2025-10-06 22:12,closed,in_progress,closed,agt_006
evt_0000349,tck_000084,2025-10-04 09:51,created,,open,
evt_0000350,tck_000084,2025-10-04 10:26,assigned,open,assigned,agt_014
evt_0000351,tck_000084,2025-10-04 16:52,first_response,assigned,in_progress,agt_014
evt_0000352,tck_000084,2025-10-05 22:05,closed,in_progress,closed,agt_014
evt_0000353,tck_000085,2025-10-04 09:41,created,,open,
evt_0000354,tck_000085,2025-10-04 10:11,assigned,open,assigned,agt_005
evt_0000355,tck_000085,2025-10-04 10:28,first_response,assigned,in_progress,agt_005
evt_0000356,tck_000085,2025-10-04 14:35,closed,in_progress,closed,agt_005
evt_0000357,tck_000086,2025-10-04 11:25,created,,open,
evt_0000358,tck_000086,2025-10-04 12:09,assigned,open,assigned,agt_017
evt_0000359,tck_000086,2025-10-04 14:37,first_response,assigned,in_progress,agt_017
evt_0000360,tck_000086,2025-10-05 07:09,closed,in_progress,resolved,agt_017
evt_0000361,tck_000087,2025-10-04 16:48,created,,open,
evt_0000362,tck_000087,2025-10-04 17:09,assigned,open,assigned,agt_015
evt_0000363,tck_000087,2025-10-06 10:05,first_response,assigned,in_progress,agt_015
evt_0000364,tck_000087,2025-10-06 10:35,closed,in_progress,closed,agt_015
evt_0000365,tck_000088,2025-10-05 05:53,created,,open,
evt_0000366,tck_000088,2025-10-05 06:38,assigned,open,assigned,agt_004
evt_0000367,tck_000088,2025-10-07 20:26,first_response,assigned,in_progress,agt_004
