ticket_id,created_at,first_response_at,closed_at,status,priority,category,channel,agent_id,department_id,customer_segment_id,sla_target_hours,sla_breached,first_response_hours,resolution_hours,satisfaction_score
tck_000043,2025-10-02 14:39,2025-10-03 07:21,2025-10-03 07:51,closed,medium,billing question,social,agt_005,dep_02,seg_04,57,0,16.71,17.21,4.8
tck_000044,2025-10-02 07:14,2025-10-03 11:28,2025-10-04 11:20,closed,low,billing question,email,agt_007,dep_02,seg_02,86,0,28.24,52.12,5.0
tck_000045,2025-10-02 14:18,2025-10-03 19:17,2025-10-04 00:53,closed,low,feature request,email,agt_010,dep_03,seg_01,72,0,29.00,34.58,4.3
tck_000046,2025-10-02 18:37,2025-10-03 11:01,2025-10-03 17:21,closed,medium,onboarding help,email,agt_010,dep_03,seg_01,36,0,16.41,22.73,4.9
tck_000047,2025-10-02 10:06,2025-10-02 19:22,2025-10-03 20:58,closed,high,integration issue,chat,agt_014,dep_05,seg_05,24,1,9.28,34.87,2.6
tck_000048,2025-10-02 00:55,2025-10-03 08:38,2025-10-03 09:08,closed,low,bug report,phone,agt_017,dep_01,seg_04,115,0,31.73,32.23,4.5
tck_000049,2025-10-02 08:40,2025-10-03 00:44,2025-10-03 01:31,closed,medium,bug report,chat,agt_004,dep_01,seg_05,64,0,16.08,16.86,5.0
tck_000050,2025-10-02 15:26,2025-10-03 00:58,2025-10-03 01:28,resolved,medium,abuse report,phone,agt_011,dep_04,seg_01,36,0,9.54,10.04,4.8
tck_000051,2025-10-02 17:18,2025-10-03 10:07,2025-10-03 21:17,closed,high,bug report,phone,agt_003,dep_01,seg_03,18,1,16.83,27.99,2.7
tck_000052,2025-10-02 11:54,2025-10-02 23:34,2025-10-04 07:25,closed,high,integration issue,social,agt_014,dep_05,seg_04,21,1,11.67,43.53,2.9
tck_000053,2025-10-02 18:28,2025-10-03 07:35,2025-10-03 17:29,closed,low,billing question,chat,agt_007,dep_02,seg_03,96,0,13.12,23.02,3.9
tck_000054,2025-10-02 15:58,2025-10-02 18:51,2025-10-03 15:55,closed,high,onboarding help,email,agt_008,dep_03,seg_04,21,1,2.89,23.95,3.0
tck_000055,2025-10-02 08:33,2025-10-03 12:46,2025-10-04 03:27,closed,low,abuse report,email,agt_012,dep_04,seg_04,115,0,28.23,42.92,4.5
tck_000056,2025-10-03 17:57,2025-10-04 00:54,2025-10-04 10:54,closed,medium,login access,email,agt_001,dep_01,seg_02,43,0,6.95,16.95,5.0
tck_000057,2025-10-03 10:36,2025-10-03 12:41,2025-10-03 13:11,closed,critical,billing question,social,agt_006,dep_02,seg_02,7,0,2.09,2.59,5.0
tck_000058,2025-10-03 19:41,2025-10-04 02:06,2025-10-04 15:24,closed,medium,invoice dispute,phone,agt_006,dep_02,seg_03,48,0,6.43,19.72,4.9
tck_000059,2025-10-03 17:47,2025-10-03 23:27,2025-10-05 02:01,closed,high,abuse report,phone,agt_012,dep_04,seg_02,16,1,5.67,32.25,2.8
tck_000060,2025-10-03 13:29,2025-10-03 16:44,2025-10-04 01:36,closed,high,data export,portal,agt_014,dep_05,seg_02,16,0,3.25,12.13,4.5
tck_000061,2025-10-03 17:58,2025-10-04 13:16,2025-10-04 13:46,closed,medium,feature request,email,agt_008,dep_03,seg_04,57,0,19.32,19.82,4.3
tck_000062,2025-10-03 08:26,2025-10-03 18:36,2025-10-07 23:25,closed,high,invoice dispute,chat,agt_007,dep_02,seg_05,24,1,10.17,110.99,2.2
tck_000063,2025-10-03 11:25,2025-10-04 03:52,2025-10-04 06:44,closed,low,feature request,chat,agt_018,dep_03,seg_03,96,0,16.46,19.33,5.0
tck_000064,2025-10-03 10:09,2025-10-03 15:42,2025-10-03 22:59,closed,high,login access,email,agt_017,dep_01,seg_02,16,0,5.55,12.84,4.2
tck_000065,2025-10-03 16:30,2025-10-05 00:54,2025-10-06 13:24,closed,low,bug report,portal,agt_003,dep_01,seg_01,72,0,32.41,68.91,5.0
tck_000066,2025-10-03 11:43,2025-10-03 16:58,2025-10-03 23:01,closed,medium,billing question,email,agt_006,dep_02,seg_05,64,0,5.26,11.31,4.2
tck_000067,2025-10-03 15:54,2025-10-05 06:44,2025-10-05 14:01,resolved,medium,data export,portal,agt_014,dep_05,seg_03,48,0,38.84,46.13,4.2
tck_000068,2025-10-03 15:23,2025-10-04 09:25,2025-10-04 16:23,closed,medium,integration issue,email,agt_014,dep_05,seg_03,48,0,18.05,25.01,4.7
tck_000069,2025-10-03 12:58,2025-10-04 00:56,2025-10-04 08:47,closed,medium,billing question,phone,agt_007,dep_02,seg_03,48,0,11.97,19.82,4.7
tck_000070,2025-10-03 12:35,2025-10-04 12:09,2025-10-06 16:42,closed,medium,integration issue,email,agt_014,dep_05,seg_01,36,1,23.57,76.12,3.2
tck_000071,2025-10-03 21:05,2025-10-05 09:46,2025-10-05 16:44,closed,low,bug report,email,agt_004,dep_01,seg_03,96,0,36.69,43.65,4.9
tck_000072,2025-10-03 07:28,2025-10-03 11:35,2025-10-03 15:46,closed,high,billing question,portal,agt_005,dep_02,seg_01,13,0,4.13,8.30,4.5
tck_000073,2025-10-03 00:19,2025-10-03 11:06,2025-10-03 11:36,closed,medium,billing question,chat,agt_006,dep_02,seg_01,36,0,10.79,11.29,5.0
tck_000074,2025-10-03 18:02,2025-10-04 03:48,2025-10-04 04:50,closed,medium,onboarding help,phone,agt_008,dep_03,seg_04,57,0,9.78,10.80,4.5
tck_000075,2025-10-03 19:05,2025-10-04 04:10,2025-10-04 10:41,resolved,medium,login access,portal,agt_017,dep_01,seg_04,57,0,9.09,15.62,4.4
tck_000076,2025-10-04 10:52,2025-10-04 21:22,2025-10-04 21:52,closed,medium,login access,email,agt_004,dep_01,seg_03,48,0,10.51,11.01,5.0
tck_000077,2025-10-04 13:43,2025-10-04 15:40,2025-10-04 21:51,closed,critical,login access,chat,agt_003,dep_01,seg_03,8,1,1.95,8.14,3.3
tck_000078,2025-10-04 11:02,2025-10-04 20:16,2025-10-05 04:11,closed,high,invoice dispute,chat,agt_005,dep_02,seg_03,18,0,9.25,17.17,4.6
tck_000079,2025-10-04 08:03,2025-10-04 10:15,2025-10-04 10:45,closed,high,billing question,email,agt_006,dep_02,seg_03,18,0,2.21,2.71,5.0
tck_000080,2025-10-04 13:50,2025-10-05 00:06,2025-10-05 00:53,closed,medium,login access,chat,agt_002,dep_01,seg_02,43,0,10.28,11.05,4.8
tck_000081,2025-10-04 18:19,2025-10-05 04:18,2025-10-06 19:28,closed,medium,data export,email,agt_015,dep_05,seg_01,36,1,10.00,49.16,3.8
tck_000082,2025-10-04 20:21,2025-10-05 13:39,2025-10-05 14:09,closed,medium,login access,email,agt_002,dep_01,seg_03,48,0,17.31,17.81,4.2
tck_000083,2025-10-04 17:39,2025-10-04 22:46,2025-10-06 22:12,closed,medium,billing question,chat,agt_006,dep_02,seg_03,48,1,5.13,52.56,3.1
tck_000084,2025-10-04 09:51,2025-10-04 16:52,2025-10-05 22:05,closed,medium,data export,portal,agt_014,dep_05,seg_04,57,0,7.02,36.24,4.8
tck_000085,2025-10-04 09:41,2025-10-04 10:28,2025-10-04 14:35,closed,critical,billing question,phone,agt_005,dep_02,seg_04,9,0,0.79,4.90,4.2
tck_000086,2025-10-04 11:25,2025-10-04 14:37,2025-10-05 07:09,resolved,high,login access,phone,agt_017,dep_01,seg_04,21,0,3.21,19.75,4.6
tck_000087,2025-10-04 16:48,2025-10-06 10:05,2025-10-06 10:35,closed,low,integration issue,phone,agt_015,dep_05,seg_01,72,0,41.30,41.80,4.6
tck_000088,2025-10-05 05:53,2025-10-07 20:26,2025-10-07 20:56,closed,low,bug report,portal,agt_004,dep_01,seg_02,86,0,62.55,63.05,4.7
tck_000089,2025-10-05 15:32,2025-10-06 03:40,2025-10-06 15:40,closed,medium,invoice dispute,social,agt_006,dep_02,seg_02,43,0,12.15,24.14,5.0
tck_000090,2025-10-05 13:48,2025-10-06 22:01,2025-10-09 06:50,closed,low,integration issue,portal,agt_014,dep_05,seg_02,86,1,32.22,89.04,3.2
tck_000091,2025-10-05 09:50,2025-10-08 00:03,2025-10-08 00:33,closed,low,bug report,social,agt_001,dep_01,seg_03,96,0,62.23,62.73,4.7
tck_000092,2025-10-05 15:57,2025-10-06 12:52,2025-10-06 13:22,closed,medium,feature request,chat,agt_018,dep_03,seg_01,36,0,20.92,21.42,4.7
tck_000093,2025-10-05 06:42,2025-10-05 13:20,2025-10-06 03:02,closed,medium,login access,chat,agt_002,dep_01,seg_04,57,0,6.64,20.34,4.8
tck_000094,2025-10-05 14:25,2025-10-05 22:25,2025-10-06 03:40,closed,medium,invoice dispute,portal,agt_005,dep_02,seg_03,48,0,8.01,13.26,5.0
tck_000095,2025-10-05 10:28,2025-10-05 12:32,2025-10-05 23:14,closed,critical,integration issue,email,agt_015,dep_05,seg_01,6,1,2.08,12.77,3.3
tck_000096,2025-10-05 15:45,2025-10-06 11:33,2025-10-07 14:29,closed,low,login access,phone,agt_001,dep_01,seg_03,96,0,19.81,46.74,5.0
tck_000097,2025-10-05 08:45,2025-10-06 06:20,2025-10-06 06:50,closed,medium,invoice dispute,email,agt_005,dep_02,seg_03,48,0,21.59,22.09,4.9
tck_000098,2025-10-06 11:45,2025-10-06 12:54,2025-10-07 08:02,resolved,critical,billing question,phone,agt_005,dep_02,seg_01,6,1,1.16,20.29,2.9
tck_000099,2025-10-06 14:37,2025-10-06 19:58,2025-10-07 02:17,closed,medium,login access,email,agt_017,dep_01,seg_03,48,0,5.36,11.68,4.2
tck_000100,2025-10-06 10:34,2025-10-06 20:55,2025-10-08 07:57,closed,low,feature request,chat,agt_008,dep_03,seg_03,96,0,10.35,45.38,5.0
tck_000101,2025-10-06 20:49,2025-10-07 04:06,2025-10-08 14:21,closed,high,integration issue,phone,agt_014,dep_05,seg_01,13,1,7.29,41.54,2.4
tck_000102,2025-10-06 07:28,2025-10-06 10:20,2025-10-06 14:58,closed,high,billing question,email,agt_005,dep_02,seg_03,18,0,2.87,7.51,4.4
tck_000103,2025-10-06 12:17,2025-10-07 16:14,2025-10-09 22:34,resolved,low,data export,chat,agt_014,dep_05,seg_02,86,0,27.96,82.29,4.9
tck_000104,2025-10-06 13:05,2025-10-09 01:11,2025-10-09 01:41,resolved,low,bug report,chat,agt_017,dep_01,seg_05,129,0,60.11,60.61,3.8
tck_000105,2025-10-06 10:23,2025-10-07 05:08,2025-10-07 11:32,closed,medium,invoice dispute,email,agt_005,dep_02,seg_01,36,0,18.76,25.16,5.0
tck_000106,2025-10-06 11:50,2025-10-06 12:56,,open,critical,bug report,email,agt_017,dep_01,seg_03,8,1,1.11,5700.15,
tck_000107,2025-10-06 19:20,2025-10-07 09:16,2025-10-07 09:46,closed,medium,onboarding help,phone,agt_008,dep_03,seg_01,36,0,13.95,14.45,5.0
tck_000108,2025-10-06 10:57,2025-10-07 20:54,2025-10-07 21:24,closed,low,billing question,email,agt_005,dep_02,seg_02,86,0,33.95,34.45,4.8
tck_000109,2025-10-06 08:43,2025-10-06 22:02,2025-10-07 17:01,closed,low,billing question,portal,agt_007,dep_02,seg_03,96,0,13.33,32.31,4.2
tck_000110,2025-10-06 16:03,2025-10-07 06:47,2025-10-07 10:31,closed,medium,onboarding help,phone,agt_018,dep_03,seg_04,57,0,14.75,18.47,4.2
tck_000111,2025-10-06 10:19,2025-10-08 13:17,2025-10-08 13:47,closed,low,onboarding help,social,agt_009,dep_03,seg_03,96,0,50.98,51.48,4.5
tck_000112,2025-10-06 11:49,2025-10-07 07:02,2025-10-07 07:32,closed,medium,bug report,phone,agt_002,dep_01,seg_03,48,0,19.22,19.72,4.6
tck_000113,2025-10-06 16:15,2025-10-07 05:50,2025-10-08 08:16,closed,low,feature request,email,agt_008,dep_03,seg_03,96,0,13.59,40.02,5.0
tck_000114,2025-10-06 12:59,2025-10-06 18:35,2025-10-07 05:43,closed,high,login access,chat,agt_017,dep_01,seg_01,13,1,5.60,16.75,3.9
tck_000115,2025-10-06 09:56,2025-10-06 23:53,2025-10-07 00:37,closed,medium,billing question,phone,agt_007,dep_02,seg_03,48,0,13.96,14.69,4.9
tck_000116,2025-10-06 17:29,2025-10-06 17:58,2025-10-06 23:16,closed,critical,bug report,chat,agt_017,dep_01,seg_03,8,0,0.50,5.80,4.9
tck_000117,2025-10-06 17:32,2025-10-06 20:22,,pending,high,billing question,phone,agt_007,dep_02,seg_01,13,1,2.84,5694.45,
tck_000118,2025-10-06 15:44,2025-10-06 16:13,2025-10-06 21:08,resolved,critical,onboarding help,portal,agt_008,dep_03,seg_02,7,0,0.48,5.41,4.7
tck_000119,2025-10-06 20:30,2025-10-07 08:49,2025-10-07 17:33,closed,medium,onboarding help,chat,agt_008,dep_03,seg_05,64,0,12.32,21.06,4.6
tck_000120,2025-10-06 14:03,2025-10-07 05:09,2025-10-07 21:08,closed,low,feature request,portal,agt_008,dep_03,seg_03,96,0,15.11,31.09,4.9
tck_000121,2025-10-06 14:43,2025-10-08 04:51,2025-10-08 05:21,closed,low,billing question,chat,agt_006,dep_02,seg_01,72,0,38.14,38.64,5.0
tck_000122,2025-10-06 10:11,2025-10-08 01:30,2025-10-08 02:00,closed,low,billing question,social,agt_006,dep_02,seg_04,115,0,39.32,39.82,4.7
tck_000123,2025-10-06 11:08,2025-10-07 17:55,2025-10-07 18:25,closed,low,feature request,email,agt_018,dep_03,seg_04,115,0,30.79,31.29,4.8
tck_000124,2025-10-06 15:39,2025-10-07 17:24,2025-10-07 17:54,resolved,low,login access,portal,agt_001,dep_01,seg_04,115,0,25.75,26.25,4.4
tck_000125,2025-10-06 14:49,2025-10-06 15:56,2025-10-06 19:28,closed,critical,login access,phone,agt_003,dep_01,seg_02,7,0,1.12,4.66,4.6
tck_000126,2025-10-06 21:41,2025-10-07 06:39,2025-10-07 10:00,closed,high,feature request,chat,agt_009,dep_03,seg_03,18,0,8.98,12.32,4.7
tck_000127,2025-10-06 19:35,2025-10-06 22:44,2025-10-07 05:49,closed,high,billing question,portal,agt_007,dep_02,seg_02,16,0,3.15,10.24,5.0
tck_000128,2025-10-07 14:55,2025-10-08 02:14,2025-10-08 02:45,closed,medium,login access,email,agt_004,dep_01,seg_02,43,0,11.32,11.84,5.0
tck_000129,2025-10-07 14:13,2025-10-08 16:33,2025-10-09 02:16,closed,low,data export,chat,agt_014,dep_05,seg_05,129,0,26.34,36.05,4.5
tck_000130,2025-10-07 12:53,2025-10-08 01:29,2025-10-08 18:48,closed,medium,bug report,email,agt_017,dep_01,seg_03,48,0,12.60,29.92,5.0
tck_000131,2025-10-07 17:31,2025-10-08 12:55,2025-10-08 13:25,closed,medium,billing question,email,agt_005,dep_02,seg_01,36,0,19.41,19.91,4.8
tck_000132,2025-10-07 09:56,2025-10-07 18:48,2025-10-08 12:56,closed,medium,billing question,email,agt_006,dep_02,seg_02,43,0,8.87,27.00,4.7
tck_000133,2025-10-07 19:42,2025-10-08 10:33,2025-10-09 09:31,closed,medium,bug report,portal,agt_017,dep_01,seg_01,36,1,14.86,37.82,4.3
tck_000134,2025-10-07 08:06,2025-10-07 11:22,2025-10-07 18:59,closed,high,login access,phone,agt_017,dep_01,seg_03,18,0,3.28,10.89,5.0
tck_000135,2025-10-07 15:54,2025-10-07 16:53,2025-10-07 20:27,closed,critical,billing question,portal,agt_007,dep_02,seg_02,7,0,1.00,4.56,5.0
tck_000136,2025-10-07 21:57,2025-10-08 01:13,,open,high,login access,email,agt_017,dep_01,seg_03,18,1,3.27,5666.03,
tck_000137,2025-10-07 20:37,2025-10-08 06:47,2025-10-09 18:55,closed,medium,feature request,phone,agt_009,dep_03,seg_01,36,1,10.18,46.31,3.2
tck_000138,2025-10-07 11:49,2025-10-07 12:54,2025-10-07 21:58,closed,critical,billing question,chat,agt_007,dep_02,seg_01,6,1,1.10,10.16,3.5
tck_000139,2025-10-07 15:05,2025-10-08 01:59,2025-10-08 02:29,closed,medium,billing question,chat,agt_006,dep_02,seg_05,64,0,10.91,11.41,4.7
tck_000140,2025-10-07 10:08,2025-10-08 01:54,2025-10-09 14:31,closed,low,bug report,email,agt_002,dep_01,seg_01,72,0,15.77,52.39,4.5
tck_000141,2025-10-07 11:05,2025-10-08 00:10,2025-10-08 04:01,closed,medium,login access,chat,agt_002,dep_01,seg_02,43,0,13.10,16.94,4.7
tck_000142,2025-10-07 10:40,2025-10-08 04:57,,pending,medium,integration issue,email,agt_014,dep_05,seg_03,48,1,18.29,5677.32,
tck_000143,2025-10-07 15:38,2025-10-07 20:09,2025-10-09 23:41,closed,high,integration issue,chat,agt_016,dep_05,seg_03,18,1,4.53,56.05,2.7
tck_000144,2025-10-07 19:12,2025-10-08 09:52,2025-10-09 04:14,closed,medium,onboarding help,portal,agt_009,dep_03,seg_02,43,0,14.67,33.04,4.5
tck_000145,2025-10-07 08:19,2025-10-08 01:59,2025-10-12 11:44,resolved,low,feature request,portal,agt_010,dep_03,seg_04,115,1,17.68,123.42,3.2
tck_000146,2025-10-07 06:23,2025-10-08 04:39,2025-10-09 04:51,closed,medium,billing question,phone,agt_005,dep_02,seg_05,64,0,22.28,46.48,4.3
tck_000147,2025-10-07 21:27,2025-10-07 21:46,2025-10-08 03:12,closed,critical,login access,chat,agt_004,dep_01,seg_03,8,0,0.33,5.76,4.4
tck_000148,2025-10-07 08:26,2025-10-08 12:04,2025-10-08 12:34,closed,medium,onboarding help,chat,agt_008,dep_03,seg_03,48,0,27.65,28.15,4.5
tck_000149,2025-10-07 15:43,2025-10-08 13:43,2025-10-09 06:27,closed,medium,bug report,email,agt_017,dep_01,seg_04,57,0,22.01,38.73,4.6
tck_000150,2025-10-07 18:28,2025-10-08 19:56,2025-10-09 17:35,closed,low,invoice dispute,chat,agt_006,dep_02,seg_03,96,0,25.48,47.12,4.8
tck_000151,2025-10-07 13:40,2025-10-08 01:31,2025-10-08 21:46,closed,medium,bug report,email,agt_017,dep_01,seg_03,48,0,11.85,32.11,4.6
tck_000152,2025-10-07 08:07,2025-10-07 17:59,2025-10-08 06:47,closed,medium,feature request,portal,agt_008,dep_03,seg_02,43,0,9.87,22.67,4.4
tck_000153,2025-10-07 13:08,2025-10-08 11:38,2025-10-10 00:46,closed,medium,invoice dispute,social,agt_006,dep_02,seg_03,48,1,22.51,59.65,3.3
tck_000154,2025-10-07 13:05,2025-10-08 02:41,2025-10-08 03:11,closed,medium,billing question,chat,agt_007,dep_02,seg_03,48,0,13.60,14.10,4.8
tck_000155,2025-10-07 17:02,2025-10-08 18:20,2025-10-08 18:50,closed,low,login access,phone,agt_002,dep_01,seg_04,115,0,25.30,25.80,4.3
tck_000156,2025-10-07 12:07,2025-10-07 13:46,2025-10-08 09:30,closed,critical,bug report,chat,agt_017,dep_01,seg_03,8,1,1.65,21.39,2.5
tck_000157,2025-10-07 14:10,2025-10-07 16:48,2025-10-07 23:29,resolved,high,onboarding help,chat,agt_009,dep_03,seg_04,21,0,2.64,9.32,4.4
tck_000158,2025-10-08 08:09,2025-10-11 16:21,2025-10-13 15:03,closed,low,integration issue,portal,agt_015,dep_05,seg_02,86,1,80.20,126.91,4.0
tck_000159,2025-10-08 11:47,2025-10-09 20:36,2025-10-10 14:55,closed,medium,invoice dispute,portal,agt_007,dep_02,seg_01,36,1,32.82,51.14,4.0
tck_000160,2025-10-08 14:08,2025-10-08 19:31,2025-10-09 01:05,closed,high,data export,email,agt_014,dep_05,seg_03,18,0,5.38,10.96,4.8
tck_000161,2025-10-08 12:44,2025-10-08 13:40,2025-10-08 20:50,closed,high,login access,chat,agt_017,dep_01,seg_01,13,0,0.95,8.11,5.0
tck_000162,2025-10-08 14:33,2025-10-12 02:46,2025-10-15 03:08,closed,low,integration issue,email,agt_014,dep_05,seg_01,72,1,84.23,156.59,3.5
tck_000163,2025-10-08 11:52,2025-10-08 15:33,2025-10-08 20:43,closed,high,login access,chat,agt_002,dep_01,seg_01,13,0,3.69,8.86,4.6
tck_000164,2025-10-08 08:07,2025-10-09 05:24,2025-10-12 02:08,closed,medium,abuse report,email,agt_013,dep_04,seg_03,48,1,21.29,90.02,2.8
tck_000165,2025-10-08 05:54,2025-10-08 23:46,2025-10-09 19:09,closed,medium,bug report,email,agt_017,dep_01,seg_03,48,0,17.87,37.25,5.0
tck_000166,2025-10-08 21:23,2025-10-10 04:16,2025-10-10 04:46,resolved,low,billing question,chat,agt_006,dep_02,seg_03,96,0,30.89,31.39,4.9
tck_000167,2025-10-08 17:32,2025-10-09 04:47,2025-10-10 08:57,closed,low,login access,email,agt_001,dep_01,seg_02,86,0,11.25,39.42,4.5
tck_000168,2025-10-08 11:40,2025-10-09 18:29,2025-10-10 14:01,resolved,medium,bug report,phone,agt_003,dep_01,seg_02,43,1,30.82,50.35,3.6
